# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 1.143808792385895057e+00, 1.114754757995750634e+00, 6.830647732394190541e-01, 2.905403439014452721e-02, 2.258563550381645690e+00, 1.258686526819248197e+00
1.000000000000000056e-01, 7.824888292683889607e-03, 5.294013598284430001e-03, 9.769265239350904961e-01, 1.283424435699838904e-02, 3.713904324085178042e-03, 5.686137444616282677e-01
2.000000000000000111e-01, 5.105704909633575900e-03, 3.789621499698336057e-03, 1.115863477380312219e+00, 1.316116034150321013e-03, 8.895321582445298025e-03, 5.016264964825859624e-02
3.000000000000000444e-01, 1.169395143786964610e-02, 4.108875014120753726e-03, 4.783120821923402266e-01, 8.436621669835183898e-03, 1.536509430579279661e-02, 3.631581939546240645e-01
4.000000000000000222e-01, 1.520701981104577091e-03, 2.734051636995308860e-03, 1.612033164579451672e+00, 4.239206069571481092e-03, 1.266600820263625140e-03, 1.835031879397683308e-01
5.000000000000000000e-01, 3.559274950024306477e-03, 1.368021561331601724e-03, 3.303303859089024908e+00, 2.614112854216925526e-03, 4.716593718956016944e-03, 1.092914313909528062e-01
6.000000000000000888e-01, 9.322860590887693463e-03, 1.915262176225915412e-03, 4.234336925143646013e+00, 7.563951769180806035e-03, 1.113348782884875446e-02, 3.287116004980665251e-01
7.000000000000000666e-01, 1.444546249965016245e-03, 1.285633133173908534e-03, 3.744566644208736861e+00, 1.085745842366333310e-03, 2.510037610990987090e-03, 5.664716142341351401e-02
8.000000000000000444e-01, 4.644837959175471438e-03, 2.683709911418907627e-03, 5.271452575043589661e+00, 5.883279145697388988e-03, 4.789641281462852888e-03, 2.499482863130774168e-01
9.000000000000000222e-01, 8.375083465696681051e-03, 1.975826026840061395e-03, 1.873481917163433863e+01, 6.461169915810494394e-03, 1.031237637067587698e-02, 2.862566328104797497e-01
1.000000000000000000e+00, 1.352960049394798248e-02, 1.766176610068591942e-03, 2.474254934054475825e+02, 1.493349228316592781e-02, 1.222005511101342118e-02, 6.556482289651828221e-01
1.100000000000000089e+00, 7.443361911494935420e-04, 3.415813446665859972e-04, 2.286931105115355578e+01, 4.834959544943468065e-04, 1.052454285442314293e-03, 2.033449877392037516e-02
1.200000000000000178e+00, 6.421546736397529525e-04, 2.755343123294495648e-03, 6.749682988986029919e+00, 2.182406779806446862e-03, 3.353454539930719128e-03, 1.011308795598288984e-01
1.300000000000000044e+00, 4.234622121277419049e-03, 1.448024308585476412e-03, 6.395953942985612706e+00, 4.108036166743885866e-03, 4.814731214642952763e-03, 1.817342959703091843e-01
1.400000000000000133e+00, 3.854944288180158028e-03, 8.279043956449773584e-04, 7.129985706957151059e+00, 3.109410993061793773e-03, 4.628564095141016535e-03, 1.349158233901654458e-01
1.500000000000000000e+00, 1.795275104181936988e-03, 2.190731482533436400e-03, 6.101745491307635660e+00, 3.871249475325585533e-03, 1.028621289060695264e-03, 1.756567843484799496e-01
1.600000000000000089e+00, 2.169920689658047779e-03, 2.699034366589650891e-03, 3.486759579497127337e+00, 2.881503115238976884e-03, 3.960255600304626519e-03, 1.240099729766665770e-01
1.700000000000000178e+00, 4.434227612825505406e-03, 1.662164184708844836e-03, 2.276413727367656126e+00, 3.272820923885914890e-03, 5.842856475964493951e-03, 1.440796828849904010e-01
1.800000000000000044e+00, 2.189500899911045028e-03, 1.463628641863136013e-03, 3.143225095480496112e+00, 9.935076222852556871e-04, 3.589594488023389266e-03, 4.097722243674568887e-02
1.900000000000000133e+00, 7.384179786242554182e-04, 1.246597461822577906e-03, 3.742305542931540607e+00, 1.741885901526111450e-03, 1.079058011425074572e-03, 7.497216163428511992e-02
2.000000000000000000e+00, 3.335849982817586535e-03, 1.305913462686719793e-03, 3.157592609451135512e+00, 2.754136634509706406e-03, 4.252216076145740389e-03, 1.177867222560471383e-01
2.100000000000000089e+00, 1.648945683030840839e-03, 3.887608176032021396e-04, 1.846611085831298960e+00, 2.017378692726851368e-03, 1.292477035738309006e-03, 8.988352498868777685e-02
2.200000000000000178e+00, 5.639810643167700831e-04, 8.547284516148317057e-04, 1.636670274053627638e+00, 1.367222284439423372e-03, 4.774661859731827752e-04, 5.961002061705548971e-02
2.300000000000000266e+00, 1.494733722282893694e-03, 1.170682195806160494e-03, 2.415756041592122649e+00, 3.312424419549302645e-04, 2.664531826205517127e-03, 1.552582233630151951e-02
2.400000000000000355e+00, 2.767667549799624795e-03, 2.075381476873840170e-03, 2.661019102645046264e+00, 1.407722450613050052e-03, 4.685370997431202202e-03, 6.394926473890598373e-02
2.500000000000000000e+00, 1.940221169818028783e-03, 2.988947432962356550e-03, 2.166717790680079414e+00, 1.780783432234138213e-03, 4.714375913853837037e-03, 7.842515051651750835e-02
2.600000000000000089e+00, 1.116409448404140489e-03, 1.266723569140794587e-03, 1.295942810408464041e+00, 1.461140896599816405e-03, 1.888646233281689873e-03, 6.777973395821949854e-02
2.700000000000000178e+00, 5.320399823444053357e-03, 3.470535298055485093e-03, 1.432883145294129079e+00, 1.938610602439683108e-03, 8.771791607466161711e-03, 7.539634201749163822e-02
2.800000000000000266e+00, 3.789354038527856239e-03, 1.450959052270258797e-03, 2.177491283174374459e+00, 3.511144589703943560e-03, 4.538814390514062450e-03, 1.533610712920164265e-01
2.900000000000000355e+00, 1.392431226242381347e-03, 7.622522624855778079e-04, 2.198191771948247109e+00, 2.055490911220184905e-03, 9.026314734429256902e-04, 9.014684379196501174e-02
3.000000000000000000e+00, 7.727914394942462205e-03, 9.908009339697331636e-04, 1.453981354619713562e+00, 6.873498134511148334e-03, 8.611603693128268983e-03, 2.912920128136072817e-01
3.100000000000000089e+00, 3.342467267969615689e-03, 2.354124690515821145e-03, 9.810763601235396036e-01, 3.175499279064482056e-03, 4.831582072215064722e-03, 1.370928964127769156e-01
3.200000000000000178e+00, 1.544329353862750401e-03, 1.299594656919759528e-03, 1.394626678481951654e+00, 1.905020215235462590e-03, 2.125722660776146068e-03, 8.225548706780190511e-02
3.300000000000000266e+00, 4.050708579870236983e-03, 2.132298853241478259e-03, 1.907437759303754365e+00, 2.851561284948579775e-03, 5.811925243438795935e-03, 1.190414155533282559e-01
3.400000000000000355e+00, 1.660098650013110220e-03, 1.284190857394201368e-03, 1.770341318872172609e+00, 2.845938068236358084e-03, 8.430799984245578157e-04, 1.223554836425720937e-01
3.500000000000000000e+00, 4.530941417958254946e-03, 1.728740179251509563e-03, 1.235531451816304971e+00, 4.463277913521408562e-03, 5.207215738504416755e-03, 1.961109117479359620e-01
3.600000000000000089e+00, 2.305965184755000025e-03, 1.387911378065552525e-03, 8.814939359933734453e-01, 2.381903712106709856e-03, 2.968851892497226079e-03, 9.983197974144576714e-02
3.700000000000000178e+00, 5.544086349544207967e-03, 3.085795072732191047e-03, 1.466896115086372188e+00, 3.612251376720534892e-03, 8.213993508372274127e-03, 1.611911775584216333e-01
3.800000000000000266e+00, 2.574225642378364341e-03, 3.476922791020664680e-03, 1.735916995509609206e+00, 3.303510872750271311e-03, 5.149570411094031228e-03, 1.461801761413678291e-01
3.900000000000000355e+00, 3.677930877858405587e-03, 3.842114073548771446e-03, 1.564043077231439760e+00, 2.421434469503659995e-03, 7.121424527637085396e-03, 9.989617650984045083e-02
4.000000000000000000e+00, 2.648804371450813513e-03, 8.238469646162100823e-04, 9.195739221392704721e-01, 2.376923380547504502e-03, 3.120899242470847983e-03, 9.446254238226323152e-02
4.100000000000000533e+00, 2.124435078225576663e-03, 1.668219949513963848e-03, 9.670489861047827373e-01, 3.391499447209256682e-03, 1.757866861478035898e-03, 1.524617447895688926e-01
4.200000000000000178e+00, 3.976624829333076823e-03, 3.169631735178575580e-03, 1.549174102958861932e+00, 1.428321595545804920e-03, 7.048412456683870835e-03, 6.076689241627701576e-02
