# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
3.099999995902180672e-02, 3.885813947377249333e-02, 3.603480543433563998e-02, 3.342615305644691670e+00, 2.823334039436853349e-03, 7.489294490810813332e-02, 3.769826440796282541e-02
1.250000000000000000e-01, 3.619046453324434309e-02, 3.397903182264297439e-02, 4.538406163686515837e-01, 2.211432710601368701e-03, 7.016949635588731748e-02, 3.151558476899095351e-02
2.349999999860301614e-01, 3.629781563762566471e-02, 3.485931086080680530e-02, -2.599028864732217059e+00, 1.438504776818859410e-03, 7.115712649843247695e-02, 2.021589189454619379e-02
3.440000000409781933e-01, 3.725860801479535106e-02, 3.485394330330766205e-02, -4.653625387823052684e+00, 2.404664711487689011e-03, 7.211255131810301311e-02, 3.334599410968317607e-02
4.379999999655410647e-01, 3.920166300968520173e-02, 3.601333521353658473e-02, -4.879941884734027013e+00, 3.188327796148616999e-03, 7.521499822322177953e-02, 4.238952165745391021e-02
5.309999999590218067e-01, 3.806374129653538468e-02, 3.565370901833386091e-02, -3.199555998325932293e+00, 2.410032278201523770e-03, 7.371745031486924560e-02, 3.269283280834532623e-02
6.409999999450519681e-01, 3.835358928409018930e-02, 3.557856324671264392e-02, -2.631363345396674491e-01, 2.775026037377545385e-03, 7.393215253080283322e-02, 3.753476589527632301e-02
7.349999999860301614e-01, 3.844483771822197749e-02, 3.603480543447922652e-02, 2.765096804751514092e+00, 2.410032283742750969e-03, 7.447964315270119706e-02, 3.235826840364426638e-02
8.440000000409781933e-01, 3.872931814779786985e-02, 3.588988144501212285e-02, 4.721976063360945552e+00, 2.839436702785747002e-03, 7.461919959280999270e-02, 3.805236076345348134e-02
9.379999999655410647e-01, 3.871858303864044587e-02, 3.587914633616740706e-02, 4.850231078099167981e+00, 2.839436702473038809e-03, 7.459772937480785293e-02, 3.806331273444812924e-02
1.047000000020489097e+00, 3.841799994330679507e-02, 3.575032501027643195e-02, 3.101035455851762102e+00, 2.667674933030363127e-03, 7.416832495358322008e-02, 3.596784658005792307e-02
1.140999999945051968e+00, 3.719419735195481080e-02, 3.511158595050346831e-02, 1.454793170758713061e-01, 2.082611401451342492e-03, 7.230578330245827912e-02, 2.880283300078068792e-02
1.250000000000000000e+00, 3.754308844991768868e-02, 3.491835396512524281e-02, -2.867912893752402326e+00, 2.624734484792445866e-03, 7.246144241504293149e-02, 3.622249843935694547e-02
1.344000000040978193e+00, 3.849851327074384211e-02, 3.572348723402218873e-02, -4.753315713570157364e+00, 2.775026036721653377e-03, 7.422200050476603084e-02, 3.738818703146461198e-02
1.437999999965541065e+00, 3.855218882271295444e-02, 3.592745432967972552e-02, -4.782103138105306961e+00, 2.624734493033228921e-03, 7.447964315239267996e-02, 3.524096493940986896e-02
1.547000000020489097e+00, 3.608848098549590627e-02, 3.415079358488305739e-02, -2.942592316805253905e+00, 1.937687400612848887e-03, 7.023927457037895672e-02, 2.758695064071750927e-02
1.640999999945051968e+00, 3.612068632028913456e-02, 3.419910158213587681e-02, 5.334519134435245641e-02, 1.921584738153257754e-03, 7.031978790242501831e-02, 2.732637278172152587e-02
1.750000000000000000e+00, 3.774168798351020676e-02, 3.525650993873734318e-02, 3.021886924711489897e+00, 2.485178044772863581e-03, 7.299819792224754300e-02, 3.404437527923494244e-02
1.859999999986030161e+00, 3.587377877870360360e-02, 3.361940563270395671e-02, 4.826364389633715390e+00, 2.254373145999646888e-03, 6.949318441140756031e-02, 3.244020496533158576e-02
1.952999999979510903e+00, 3.742500222645853136e-02, 3.518136416592320542e-02, 4.751989143836768292e+00, 2.243638060535325940e-03, 7.260636639238174372e-02, 3.090139573174867718e-02
2.047000000020489097e+00, 3.380727006068335455e-02, 3.213796044015250486e-02, 2.847358140039098373e+00, 1.669309620530849692e-03, 6.594523050083586635e-02, 2.531357624884927535e-02
2.155999999959021807e+00, 3.709758135873739843e-02, 3.500423484707065186e-02, -1.829827519025448990e-01, 2.093346511666746568e-03, 7.210181620580805029e-02, 2.903320085157744257e-02
2.266000000061467290e+00, 3.580936811704668599e-02, 3.401123715270643749e-02, -8.505546219472146507e-01, 1.798130964340248494e-03, 6.982060526975311654e-02, 2.575358602798039770e-02
2.359999999986030161e+00, 3.726934312558538576e-02, 3.522967216216772030e-02, -3.636879024478421929e+00, 2.039670963417665461e-03, 7.249901528775309911e-02, 2.813377471848527156e-02
2.469000000040978193e+00, 3.733912134201403804e-02, 3.485394330287180931e-02, -4.987974347782333062e+00, 2.485178039142228734e-03, 7.219306464488584041e-02, 3.442405515497504176e-02
2.563000000081956387e+00, 3.777926087113148146e-02, 3.509011572925703482e-02, -4.398914759949705378e+00, 2.689145141874446643e-03, 7.286937660038851627e-02, 3.690363863851291865e-02
2.672000000020489097e+00, 3.739279689534107803e-02, 3.496129440600059812e-02, -2.083854979572867361e+00, 2.431502489340479911e-03, 7.235409130134168310e-02, 3.360559777074267201e-02
2.782000000006519258e+00, 3.532628815630344671e-02, 3.351742208569023773e-02, 1.044565366217557578e+00, 1.808866070613208976e-03, 6.884371024199367750e-02, 2.627496490608704355e-02
2.875000000000000000e+00, 3.874542081341585120e-02, 3.571811968059845216e-02, 3.765074032532058190e+00, 3.027301132817399043e-03, 7.446354049401429642e-02, 4.065481056545715288e-02
2.969000000040978193e+00, 3.710831647187311927e-02, 3.493982418927273070e-02, 5.017679638404911380e+00, 2.168492282600388565e-03, 7.204814066114584303e-02, 3.009782435329124567e-02
3.079000000027008355e+00, 3.667891205501794261e-02, 3.483784063856583402e-02, 4.329124987821231230e+00, 1.841071416452108589e-03, 7.151675269358377662e-02, 2.574321885587071285e-02
3.172000000020489097e+00, 3.648568006826670429e-02, 3.461240332449561780e-02, 1.963034028339760706e+00, 1.873276743771086494e-03, 7.109808339276232902e-02, 2.634778118311109293e-02
3.282000000006519258e+00, 3.597039477957200693e-02, 3.410785315610589258e-02, -1.168715381703949507e+00, 1.862541623466114349e-03, 7.007824793567790644e-02, 2.657802782363606967e-02
3.375000000000000000e+00, 3.689898181654751447e-02, 3.490761885462831393e-02, -3.844865416200369257e+00, 1.991362961919200536e-03, 7.180660067117583534e-02, 2.773231072500221064e-02
3.484999999986030161e+00, 3.732301867690019509e-02, 3.508474817323994910e-02, -5.008645802299382943e+00, 2.238270503660245991e-03, 7.240776685014013725e-02, 3.091202230131910242e-02
3.579000000027008355e+00, 3.575032501175149507e-02, 3.365697851783826938e-02, -4.223894630427396990e+00, 2.093346493913225692e-03, 6.940730352958976446e-02, 3.016032013145113558e-02
3.688000000081956387e+00, 3.743036978502502221e-02, 3.546584458902492937e-02, -1.788671799223206627e+00, 1.964525196000092844e-03, 7.289621437404994464e-02, 2.694961889131292088e-02
3.782000000006519258e+00, 3.810668173903177663e-02, 3.530481793398310142e-02, 1.352253460208363345e+00, 2.801863805048675216e-03, 7.341149967301488499e-02, 3.816655180085640198e-02
3.875000000000000000e+00, 3.773095287370899914e-02, 3.565370901826446504e-02, 3.966860485615929743e+00, 2.077243855444534104e-03, 7.338466189197345724e-02, 2.830624004921299813e-02
3.984999999986030161e+00, 3.769337998677806806e-02, 3.539069881600307582e-02, 5.037461325157698511e+00, 2.302681170774992236e-03, 7.308407880278114388e-02, 3.150728870769273215e-02
4.079000000027008355e+00, 3.728007823635335477e-02, 3.515452639100015431e-02, 4.158100128588530175e+00, 2.125551845353200464e-03, 7.243460462735351602e-02, 2.934442531008897570e-02
4.188000000081956387e+00, 3.767727732192949902e-02, 3.525114238352275442e-02, 1.659293500751986006e+00, 2.426134938406744601e-03, 7.292841970545224650e-02, 3.326734554520126286e-02
4.297000000020489097e+00, 3.762360176943695123e-02, 3.534239082175248681e-02, -1.469174105984671019e+00, 2.281210947684464418e-03, 7.296599259118943803e-02, 3.126402953860341061e-02
4.391000000061467290e+00, 3.816035729083379346e-02, 3.550878502872261561e-02, -4.042653976791593884e+00, 2.651572262111177858e-03, 7.366914231955640213e-02, 3.599298401777761142e-02
4.484999999986030161e+00, 3.806374129678286727e-02, 3.527261260253790331e-02, -5.031018867376966242e+00, 2.791128694244963959e-03, 7.333635389932077753e-02, 3.805927818659682327e-02
4.594000000040978193e+00, 3.616362675789692310e-02, 3.414542603098704582e-02, -4.049540733298456097e+00, 2.018200726909877285e-03, 7.030905278888396892e-02, 2.870470653288277260e-02
4.688000000081956387e+00, 3.846630794357443900e-02, 3.586304366890081391e-02, -1.487423745785209972e+00, 2.603264274673625089e-03, 7.432935161247525291e-02, 3.502336853745269957e-02
4.797000000020489097e+00, 3.689361426097711311e-02, 3.479490019744960194e-02, 1.650173848944436861e+00, 2.098714063527511164e-03, 7.168851445842672199e-02, 2.927545757339675148e-02
4.891000000061467290e+00, 3.677552804738511844e-02, 3.479490019810905360e-02, 4.153236724776721900e+00, 1.980627849276064834e-03, 7.157042824549417204e-02, 2.767382979017955422e-02
5.000000000000000000e+00, 3.619046453492054394e-02, 3.485394330487840558e-02, 5.038475908720537078e+00, 1.336521230042138353e-03, 7.104440783979895646e-02, 1.881247617765942348e-02
5.094000000040978193e+00, 3.689361426228080637e-02, 3.465534376551959034e-02, 3.968588970177443276e+00, 2.238270496761216033e-03, 7.154895802780039671e-02, 3.128306209423112327e-02
5.204000000027008355e+00, 3.783293642235317777e-02, 3.557856324608728305e-02, 1.352537945089263394e+00, 2.254373176265894729e-03, 7.341149966844046082e-02, 3.070871983882176096e-02
5.297000000020489097e+00, 3.683457115486100247e-02, 3.507938061931008961e-02, -1.776836356111509918e+00, 1.755190535550912867e-03, 7.191395177417109208e-02, 2.440681525975206198e-02
5.391000000061467290e+00, 3.656082584044399730e-02, 3.493445663010220914e-02, -4.221742174053826346e+00, 1.626369210341788163e-03, 7.149528247054620644e-02, 2.274792341734995990e-02
5.500000000000000000e+00, 3.729081334525861935e-02, 3.477342997646162837e-02, -5.009348986518599389e+00, 2.517383368796990983e-03, 7.206424332172024771e-02, 3.493248874561135503e-02
5.594000000040978193e+00, 3.568591434837845022e-02, 3.352278964147580725e-02, -3.845289462292157179e+00, 2.163124706902642969e-03, 6.920870398985426442e-02, 3.125509628412849461e-02
5.704000000027008355e+00, 3.640516674411161530e-02, 3.442453889597704014e-02, -1.172193546010746656e+00, 1.980627848134575153e-03, 7.082970564008865544e-02, 2.796323703784484721e-02
5.797000000020489097e+00, 3.616899431356495470e-02, 3.409175048078453424e-02, 1.952298652230364695e+00, 2.077243832780420463e-03, 7.026074479434948894e-02, 2.956478527035876977e-02
5.907000000006519258e+00, 3.754308844325789790e-02, 3.475732731274597948e-02, 4.324218610410833108e+00, 2.785761130511918426e-03, 7.230041575600387738e-02, 3.853036115190785343e-02
6.000000000000000000e+00, 3.702780314163681835e-02, 3.468218154109676404e-02, 5.019027047928654284e+00, 2.345621600540054308e-03, 7.170998468273358240e-02, 3.270983268115013054e-02
6.109999999986030161e+00, 3.851998349318364739e-02, 3.599723254725128302e-02, 3.767693579669080695e+00, 2.522750945932364375e-03, 7.451721604043493041e-02, 3.385460541847746391e-02
6.204000000027008355e+00, 3.835358928049594635e-02, 3.601870276830322626e-02, 1.047388728403932268e+00, 2.334886512192720087e-03, 7.437229204879916566e-02, 3.139457515522973280e-02
6.313000000081956387e+00, 3.829991372962784912e-02, 3.573958990159947086e-02, -2.073307729602630101e+00, 2.560323828028378268e-03, 7.403950363122732692e-02, 3.458051043643843581e-02
6.407000000006519258e+00, 3.797249285749686870e-02, 3.559466591058763757e-02, -4.394153577748223682e+00, 2.377826946909231132e-03, 7.356715876808450627e-02, 3.232185375549394279e-02
6.500000000000000000e+00, 3.787587686327895803e-02, 3.564834146226408124e-02, -4.989348508048758291e+00, 2.227535401014876792e-03, 7.352421832554303927e-02, 3.029662132757430376e-02
6.609999999986030161e+00, 3.855755637842794847e-02, 3.587377877851420649e-02, -3.639890281029412034e+00, 2.683777599913741985e-03, 7.443133515694215496e-02, 3.605709334992935472e-02
6.719000000040978193e+00, 3.723177024014464459e-02, 3.497202951660657172e-02, -8.629053252693583698e-01, 2.259740723538072871e-03, 7.220379975675121631e-02, 3.129670088209979967e-02
6.813000000081956387e+00, 3.788661197477705134e-02, 3.525650993834723163e-02, 2.244795502011840416e+00, 2.630102036429819712e-03, 7.314312191312427602e-02, 3.595829611366223311e-02
6.907000000006519258e+00, 3.826234084136980601e-02, 3.575569256622535691e-02, 4.482876444039211705e+00, 2.506648275144449101e-03, 7.401803340759516292e-02, 3.386537252808497628e-02
7.016000000061467290e+00, 3.874005325977340070e-02, 3.609921609524076314e-02, 4.977101729094646210e+00, 2.640837164532637560e-03, 7.483926935501417077e-02, 3.528678442871120008e-02
7.109999999986030161e+00, 3.871321548144079222e-02, 3.597039477246080641e-02, 3.544742749478703381e+00, 2.742820708979985811e-03, 7.468361025390160557e-02, 3.672587197720126456e-02
7.219000000040978193e+00, 3.731765112317540073e-02, 3.535312593057184094e-02, 7.315914409683880182e-01, 1.964525192603559789e-03, 7.267077705374724861e-02, 2.703322122385726570e-02
7.329000000027008355e+00, 3.766654221306463268e-02, 3.544974192575747751e-02, -2.356623801495042247e+00, 2.216800287307155171e-03, 7.311628413882211019e-02, 3.031883134403043703e-02
7.422000000020489097e+00, 3.798322796814961044e-02, 3.574495745524607082e-02, -4.531986546539210181e+00, 2.238270512903539622e-03, 7.372818542339568126e-02, 3.035841042404502019e-02
7.516000000061467290e+00, 3.809594662772838175e-02, 3.578253034091274931e-02, -4.932524874548335880e+00, 2.313416286815632439e-03, 7.387847696864113800e-02, 3.131380588419002686e-02
7.625000000000000000e+00, 3.837505950032239072e-02, 3.541216903615963807e-02, -3.406526420235807873e+00, 2.962890464162752646e-03, 7.378722853648203572e-02, 4.015451620733843235e-02
7.719000000040978193e+00, 3.839116217148919041e-02, 3.574495745628522569e-02, -5.439983917988969742e-01, 2.646204715203964719e-03, 7.413611962777441611e-02, 3.569386593862930446e-02
7.829000000027008355e+00, 3.783830397795264616e-02, 3.522967216301649274e-02, 2.521614936872323298e+00, 2.608631814936153426e-03, 7.306797614096913196e-02, 3.570143793093916856e-02
7.922000000020489097e+00, 3.516526150188199057e-02, 3.329735232824319879e-02, 4.617437834485572878e+00, 1.867909173638791775e-03, 6.846261383012519630e-02, 2.728363801992127191e-02
8.032000000006519258e+00, 3.781146620203674341e-02, 3.553562280592327538e-02, 4.920795219504439544e+00, 2.275843396113468031e-03, 7.334708900796002573e-02, 3.102840790132081750e-02
8.125000000000000000e+00, 3.860049682062492021e-02, 3.622803741973749936e-02, 3.315131860295678745e+00, 2.372459400887420855e-03, 7.482853424036242651e-02, 3.170527693709278977e-02
8.234999999986030161e+00, 3.760749910255736794e-02, 3.551952013911644640e-02, 4.184683152441857623e-01, 2.087978963440921543e-03, 7.312701924167380740e-02, 2.855277003073877426e-02
8.329000000027008355e+00, 3.813351951807274209e-02, 3.565907657554837074e-02, -2.636532166107596442e+00, 2.474442942524371358e-03, 7.379259609362111283e-02, 3.353240126401069859e-02
8.422000000020489097e+00, 3.855218882382919349e-02, 3.642663696015805558e-02, -4.666894514859965426e+00, 2.125551863671137909e-03, 7.497882578398724907e-02, 2.834869500083686891e-02
8.532000000006519258e+00, 3.815498973498106239e-02, 3.572885478948886057e-02, -4.869496150149415392e+00, 2.426134945492201822e-03, 7.388384452446991602e-02, 3.283715081567905453e-02
8.625000000000000000e+00, 3.748941288855792836e-02, 3.540143392900384905e-02, -3.171129081325529508e+00, 2.087978959554079306e-03, 7.289084681756177742e-02, 2.864528333413485922e-02
8.734999999986030161e+00, 3.863270215544166442e-02, 3.577179523158632857e-02, -2.264813585318903866e-01, 2.860906923855335848e-03, 7.440449738702799298e-02, 3.845072575349617328e-02
8.844000000040978193e+00, 3.744647244811481757e-02, 3.481100286482936845e-02, 2.795816630286560578e+00, 2.635469583285449113e-03, 7.225747531294418602e-02, 3.647331396331435216e-02
8.938000000081956387e+00, 3.783830397813130186e-02, 3.528871526907530892e-02, 4.738445405644690744e+00, 2.549588709055992941e-03, 7.312701924720660385e-02, 3.486520762506514076e-02
9.047000000020489097e+00, 3.645884229297693957e-02, 3.441917134036711484e-02, 4.839757861105566938e+00, 2.039670952609824728e-03, 7.087801363334406135e-02, 2.877720252095603351e-02
9.141000000061467290e+00, 3.773095287347866950e-02, 3.546047703283978364e-02, 3.065108603168849921e+00, 2.270475840638885856e-03, 7.319142990631845314e-02, 3.102106139400455723e-02
9.234999999986030161e+00, 3.562687124238317349e-02, 3.401123715317033724e-02, 9.891038019321359009e-02, 1.615634089212836244e-03, 6.963810839555351073e-02, 2.320043043150776807e-02
9.344000000040978193e+00, 3.683457115354629718e-02, 3.499886729348155451e-02, -2.899903783542781888e+00, 1.835703860064742676e-03, 7.183343844702785863e-02, 2.555500474084149501e-02
