# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 1.732381689526344137e-01, 1.448523654622053125e-01, -7.173626573643333837e-02, 2.838580349042910123e-02, 3.180905344148396985e-01, 8.923812694598948214e-02
1.089999999967403710e-01, 1.665024174082079256e-01, 1.455544421448440595e-01, -3.031054042202105947e+00, 2.094797526336386606e-02, 3.120568595530519573e-01, 6.712871267552622534e-02
2.030000000086147338e-01, 1.690385896102133967e-01, 1.429361467559472076e-01, -4.811257822423646857e+00, 2.610244285426618904e-02, 3.119747363661605766e-01, 8.366845071592624028e-02
3.120000000053551048e-01, 1.692092781130691004e-01, 1.435335561097164925e-01, -4.708518498156605503e+00, 2.567572200335260790e-02, 3.127428342227855929e-01, 8.209851415832038202e-02
4.059999999881256372e-01, 1.624670858022555509e-01, 1.393371983953415882e-01, -2.757609173613543518e+00, 2.312988740691396261e-02, 3.018042841975971391e-01, 7.663869805032447191e-02
5.150000000139698386e-01, 1.592352783946524852e-01, 1.384483306782482992e-01, 2.627549854789676398e-01, 2.078694771640418604e-02, 2.976836090729008122e-01, 6.982899656834513913e-02
6.089999999967403710e-01, 1.786615519977599875e-01, 1.484819090623320237e-01, 3.167538764987745115e+00, 3.017964293542796383e-02, 3.271434610600920112e-01, 9.225201334494763372e-02
7.179999999934807420e-01, 1.579164686301189890e-01, 1.386367320113801593e-01, 4.873404861569414770e+00, 1.927973661873882971e-02, 2.965532006414991484e-01, 6.501274164983959769e-02
8.120000000053551048e-01, 1.473144648334066831e-01, 1.328574812902581503e-01, 4.679859785900251090e+00, 1.445698354314853273e-02, 2.801719461236648057e-01, 5.160039662489041695e-02
9.210000000020954758e-01, 1.658405973553789547e-01, 1.390441297014277655e-01, 2.666611749758595717e+00, 2.679646765395118924e-02, 3.048847270568066925e-01, 8.789048868610076226e-02
1.015000000013969839e+00, 1.719225798766342017e-01, 1.428073254225151190e-01, -3.993767938488717584e-01, 2.911525445411908275e-02, 3.147299052991493484e-01, 9.250870020262347282e-02
1.108999999996740371e+00, 1.592304471134757815e-01, 1.379700811056970011e-01, -3.276513067915989730e+00, 2.126036600777878038e-02, 2.972005282191727549e-01, 7.153542470187053415e-02
1.217999999993480742e+00, 1.584494671467488180e-01, 1.384161252555680399e-01, -4.892937381110529671e+00, 2.003334189118077813e-02, 2.968655924023168580e-01, 6.748286902859150505e-02
1.312000000005355105e+00, 1.521581505255317213e-01, 1.394338144422072601e-01, -4.598151305856045923e+00, 1.272433608332446120e-02, 2.915919649677389813e-01, 4.363747157687369871e-02
1.421000000002095476e+00, 1.510438451152537331e-01, 1.354258581839654640e-01, -2.491575624987224291e+00, 1.561798693128826909e-02, 2.864697032992191694e-01, 5.451880862589925103e-02
1.515000000013969839e+00, 1.603141575360888249e-01, 1.399619822600052799e-01, 5.880444246827775112e-01, 2.035217527608354504e-02, 3.002761397960941325e-01, 6.777819672886402358e-02
1.625000000000000000e+00, 1.707760689753744232e-01, 1.431631945619546431e-01, 3.429679041929533767e+00, 2.761287441341978011e-02, 3.139392635373290386e-01, 8.795610368161695114e-02
