# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 2.982272466553728130e+00, 3.649597506952425352e+00, 3.355580505335634012e+00, 6.673250403986974444e-01, 6.631869973506153926e+00, 1.004757550042441139e+01
1.000000000000000056e-01, 2.313388620316795402e-02, 4.112191529098585541e-02, 2.759050994002257617e+00, 1.806854458499139102e-02, 6.423320724283085315e-02, 1.726377432719236327e-01
2.000000000000000111e-01, 1.115602252597909863e-02, 2.193886446563417941e-02, 3.598848879031308901e+00, 1.188345110478363637e-02, 3.271581903488666315e-02, 1.347571933859664228e-01
3.000000000000000444e-01, 1.470336511502246847e-02, 1.809134372871106303e-02, 3.644088714945300289e+00, 3.422389681527586176e-03, 3.279113563297011980e-02, 9.752484441086782183e-03
4.000000000000000222e-01, 1.304669712836691378e-02, 1.904370375177921043e-02, 3.590205143894360518e+00, 6.035291507998035050e-03, 3.208322261717519441e-02, 4.114443185776088530e-02
5.000000000000000000e-01, 7.858239851214671168e-03, 1.366644135046081454e-02, 3.768386821731968261e+00, 5.878259499295273791e-03, 2.150565439014944652e-02, 5.409434607213660373e-02
6.000000000000000888e-01, 8.118196250894983007e-03, 1.420183710158624824e-02, 5.626432668786069513e+00, 6.302585236455009524e-03, 2.225920021459203493e-02, 6.059012492372229525e-02
7.000000000000000666e-01, 1.774314526977017288e-03, 4.309820434095233514e-03, 7.210729719061058418e+00, 3.123101482017614280e-03, 5.804457387438781424e-03, 3.562521393491344807e-02
8.000000000000000444e-01, 7.476554518135179565e-03, 9.775461018712164676e-03, 8.598055658746922347e+00, 2.354133607144383387e-03, 1.724456627873641179e-02, 1.656575670099980427e-02
9.000000000000000222e-01, 3.815100336845759273e-03, 1.234592510548929330e-02, 1.824437291835321062e+01, 8.670765047619937924e-03, 1.608637771749984666e-02, 1.043815099053475581e-01
1.000000000000000000e+00, 1.280784871248059550e-02, 2.508357435227615700e-02, 2.489970444159255862e+02, 3.788339908217112223e-02, 1.230046567561077567e-02, 5.526415554358715676e-01
1.100000000000000089e+00, 1.066236712180963081e-02, 1.878391496414730938e-02, 2.101849273049742806e+01, 9.527870775272078221e-03, 2.902176332566381439e-02, 1.106634934807764897e-01
1.200000000000000178e+00, 1.189335023503733206e-02, 1.946156517004674069e-02, 9.203018534673121920e+00, 7.614559659327830091e-03, 3.134369280344948688e-02, 6.508204012058051158e-02
1.300000000000000044e+00, 3.542633124662672005e-03, 3.396544559601079056e-03, 8.350730269666890138e+00, 1.098191613940758355e-03, 6.853284174882562710e-03, 2.080811644327618809e-02
1.400000000000000133e+00, 7.713407380709937783e-03, 1.621357319047020407e-02, 6.188912672968863049e+00, 9.338952373153649664e-03, 2.361222536354878887e-02, 1.074679217706446810e-01
