# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 1.812927299990264862e-01, 1.665877615081489127e-01, -4.994949284405235446e+00, 1.470496849087757352e-02, 3.478804915071753712e-01, 4.227017280322047099e-02
6.199999999989813659e-02, 1.780979579003557633e-01, 1.645137362969432415e-01, -4.930941369640510885e+00, 1.358422160341252183e-02, 3.426116941972989771e-01, 3.964903076422665595e-02
1.089999999999236024e-01, 1.780464293230915040e-01, 1.650290220657261442e-01, -4.380130887854814858e+00, 1.301740725736535986e-02, 3.430754513888176760e-01, 3.794327808844691341e-02
1.559999999999490683e-01, 1.925130794293185010e-01, 1.703493477077418217e-01, -3.362972326175304616e+00, 2.216373172157667937e-02, 3.628624271370602949e-01, 6.108026090341119735e-02
2.029999999999745341e-01, 1.746970715625925097e-01, 1.639082755323391094e-01, -2.114086124466476146e+00, 1.078879603025340028e-02, 3.386053470949316191e-01, 3.186245026198197133e-02
2.649999999998726707e-01, 1.765198951152255336e-01, 1.654605738965343187e-01, -5.826554226414819571e-01, 1.105932121869121487e-02, 3.419804690117598245e-01, 3.233904336890921355e-02
3.119999999998981366e-01, 1.975886453184701463e-01, 1.737180285699589932e-01, 1.019872189274003693e+00, 2.387061674851115312e-02, 3.713066738884291396e-01, 6.428814354057055258e-02
3.589999999999236024e-01, 1.772348541872938443e-01, 1.659436543173143375e-01, 2.504177219635250751e+00, 1.129119986997950686e-02, 3.431785085046081818e-01, 3.290182686316992650e-02
4.059999999999490683e-01, 1.802235119506387928e-01, 1.680370027729335969e-01, 3.728628996781076843e+00, 1.218650917770519593e-02, 3.482605147235723897e-01, 3.499250894801580331e-02
4.529999999999745341e-01, 1.877660083819158998e-01, 1.713219496470447800e-01, 4.591403704990064227e+00, 1.644405873487111980e-02, 3.590879580289606521e-01, 4.579395762846744100e-02
5.149999999998726707e-01, 1.853892524018211641e-01, 1.711995692450844764e-01, 5.007617554248064984e+00, 1.418968315673668767e-02, 3.565888216469056404e-01, 3.979284345258393002e-02
5.619999999998981366e-01, 1.820785408820866647e-01, 1.715602693150008740e-01, 4.875380764304964920e+00, 1.051827156708579070e-02, 3.536388101970875386e-01, 2.974297860923075937e-02
6.250000000000000000e-01, 1.872636046862017067e-01, 1.734410624811743296e-01, 4.240700800490103894e+00, 1.382254220502737718e-02, 3.607046671673760363e-01, 3.832094082279609293e-02
6.720000000000254659e-01, 1.817242818960874418e-01, 1.707486942118492945e-01, 3.193923629305836620e+00, 1.097558768423814723e-02, 3.524729761079367085e-01, 3.113880617297913600e-02
7.190000000000509317e-01, 1.857113060961760043e-01, 1.723396390771850806e-01, 1.831349726002110767e+00, 1.337166701899092369e-02, 3.580509451733611126e-01, 3.734571071308478291e-02
7.649999999998726707e-01, 1.844037682116943799e-01, 1.722172586877145362e-01, 2.557773198793612535e-01, 1.218650952397984377e-02, 3.566210268994088883e-01, 3.417215644835563254e-02
8.119999999998981366e-01, 1.812154371351855642e-01, 1.721721711954192213e-01, -1.303775514173523886e+00, 9.043265939766342854e-03, 3.533876083306047855e-01, 2.559021801156676282e-02
8.750000000000000000e-01, 1.749740376915568940e-01, 1.691577493233976937e-01, -2.745074412721849821e+00, 5.816288368159200362e-03, 3.441317870149546154e-01, 1.690134009011625207e-02
9.220000000000254659e-01, 1.794312599885362625e-01, 1.704652870104287066e-01, -3.910666725252243126e+00, 8.965972978107555891e-03, 3.498965469989649968e-01, 2.562463978283866309e-02
9.690000000000509317e-01, 1.740722875386058743e-01, 1.681722652728142031e-01, -4.694724260977792163e+00, 5.900022265791671217e-03, 3.422445528114200775e-01, 1.723919991516311562e-02
1.014999999999872671e+00, 1.771768845143092130e-01, 1.689580760900776524e-01, -5.011864344873065313e+00, 8.218808424231560661e-03, 3.461349606043868654e-01, 2.374451979621094999e-02
1.061999999999898137e+00, 1.672189865905143735e-01, 1.634638415721018923e-01, -4.845374345290438534e+00, 3.755145018412481273e-03, 3.306828281626162935e-01, 1.135573032103697443e-02
1.125000000000000000e+00, 1.750255662698475823e-01, 1.676054509142645699e-01, -4.202899326745358266e+00, 7.420115355583012384e-03, 3.426310171841121521e-01, 2.165628616044363089e-02
1.172000000000025466e+00, 1.860333596980002779e-01, 1.726359283875911199e-01, -3.142002216255964875e+00, 1.339743131040915802e-02, 3.586692880855913979e-01, 3.735316001522842599e-02
1.219000000000050932e+00, 1.792315867135297613e-01, 1.700723815947872142e-01, -1.801739620016289178e+00, 9.159205118742547169e-03, 3.493039683083170033e-01, 2.622130278994733166e-02
1.264999999999872671e+00, 1.771317970210878889e-01, 1.691513082505667065e-01, -2.587607230445740369e-01, 7.980488770521182440e-03, 3.462831052716546232e-01, 2.304613955757556232e-02
1.311999999999898137e+00, 1.801784243960112553e-01, 1.709419263548674073e-01, 1.301781597723149941e+00, 9.236498041143847981e-03, 3.511203507508786625e-01, 2.630578951459632692e-02
1.375000000000000000e+00, 1.816856354992155420e-01, 1.698405030160622387e-01, 2.737024344782680529e+00, 1.184513248315330336e-02, 3.515261385152778084e-01, 3.369630643451709817e-02
1.422000000000025466e+00, 1.805584477025665435e-01, 1.708710745531886177e-01, 3.934873851257134625e+00, 9.687373149377925818e-03, 3.514295222557551890e-01, 2.756562137180915487e-02
1.469000000000050932e+00, 1.808482959715621285e-01, 1.715795925173919656e-01, 4.716450127991305585e+00, 9.268703454170162948e-03, 3.524278884889541219e-01, 2.629957434387507342e-02
1.514999999999872671e+00, 1.780786346859003499e-01, 1.709226031433044857e-01, 5.033391180933835862e+00, 7.156031542595864270e-03, 3.490012378292048356e-01, 2.050431564972815882e-02
1.561999999999898137e+00, 1.818853087058714957e-01, 1.728098373545271238e-01, 4.866729481862714479e+00, 9.075471351344371884e-03, 3.546951460603986472e-01, 2.558668042725053410e-02
1.625000000000000000e+00, 1.742848429341030680e-01, 1.681271777824310532e-01, 4.223997700321744375e+00, 6.157665151672014892e-03, 3.424120207165340934e-01, 1.798320379870553543e-02
1.672000000000025466e+00, 1.871605474991518969e-01, 1.743234893910862171e-01, 3.165678062886270183e+00, 1.283705810806567982e-02, 3.614840368902381140e-01, 3.551210232822412521e-02
1.719000000000050932e+00, 1.740014357345137930e-01, 1.677342723663911295e-01, 1.802911790930071145e+00, 6.267163368122663503e-03, 3.417357081009049224e-01, 1.833921132488778791e-02
1.764999999999872671e+00, 1.738468499971066727e-01, 1.683977028087771943e-01, 2.585147775587369745e-01, 5.449147188329478420e-03, 3.422445528058838393e-01, 1.592179376897243440e-02
1.811999999999898137e+00, 1.870188438887773197e-01, 1.723396390591931115e-01, -1.303691780543275280e+00, 1.467920482958420814e-02, 3.593584829479704590e-01, 4.084836041482713120e-02
1.875000000000000000e+00, 1.928608973337620214e-01, 1.761205486184605762e-01, -2.748513964694936806e+00, 1.674034871530144519e-02, 3.689814459522225976e-01, 4.536907993327410349e-02
