# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 1.446582334648346437e-02, 1.312769203985261930e-02, 2.317293766114236764e+00, 1.338131306630845063e-03, 2.759351538633608367e-02, 4.849441210718184042e-02
1.250000000000000000e-01, 1.471219409211560990e-02, 1.332736507002154659e-02, 4.597396363247086448e+00, 1.384829022094063306e-03, 2.803955916213715649e-02, 4.938840208172918383e-02
2.189999999827705324e-01, 1.445294121474093897e-02, 1.344813504662202043e-02, 4.924586270510790342e+00, 1.004806168118918541e-03, 2.790107626136295940e-02, 3.601316876476054474e-02
3.280000000086147338e-01, 1.381527575301692498e-02, 1.306811219654980399e-02, 3.376295572457162830e+00, 7.471635564671209873e-04, 2.688338794956672897e-02, 2.779276026774604377e-02
4.219999999913852662e-01, 1.386036320864991733e-02, 1.344169397526515444e-02, 4.642449885083850258e-01, 4.186692333847628900e-04, 2.730205718391507178e-02, 1.533471381165448129e-02
5.309999999881256372e-01, 1.400206664449987586e-02, 1.281852090950647179e-02, -2.562008987017135198e+00, 1.183545734993404069e-03, 2.682058755400634764e-02, 4.412825530425827647e-02
6.250000000000000000e-01, 1.429674538062093193e-02, 1.321947721684434487e-02, -4.630072850417668917e+00, 1.077268163776587059e-03, 2.751622259746527854e-02, 3.915029252146776106e-02
7.339999999967403710e-01, 1.459947544897126880e-02, 1.330804186538944375e-02, -4.885938848272500579e+00, 1.291433583581825043e-03, 2.790751731436071081e-02, 4.627547370246640895e-02
8.280000000086147338e-01, 1.487966178692029517e-02, 1.339016544753512429e-02, -3.274579110844344054e+00, 1.489496339385170884e-03, 2.826982723445541773e-02, 5.268855472769796988e-02
9.219999999913852662e-01, 1.523231011273273178e-02, 1.342398104654791285e-02, -4.034298271327017571e-01, 1.808329066184818923e-03, 2.865629115928064463e-02, 6.310408615453966252e-02
1.030999999988125637e+00, 1.426937085352604495e-02, 1.332092400081213469e-02, 2.619912184342980677e+00, 9.484468527139102573e-04, 2.759029485433817791e-02, 3.437610426859141061e-02
1.125000000000000000e+00, 1.431123777829784033e-02, 1.364941833407853737e-02, 4.636338018994320187e+00, 6.618194442193029575e-04, 2.796065611237637943e-02, 2.366966789189035511e-02
1.233999999996740371e+00, 1.413410848515311673e-02, 1.337084226305284423e-02, 4.904024154582520723e+00, 7.632662221002724928e-04, 2.750495074820596270e-02, 2.775013956896677306e-02
1.328000000008614734e+00, 1.407130809778065102e-02, 1.326134414893722496e-02, 3.282564690656016193e+00, 8.099639488434260542e-04, 2.733265224671787424e-02, 2.963356580006563934e-02
1.421999999991385266e+00, 1.370738790955439677e-02, 1.347067876888084770e-02, 4.206645790121023576e-01, 2.367091406735490761e-04, 2.717806667843524621e-02, 8.709565086959209640e-03
1.530999999988125637e+00, 1.389256853599907943e-02, 1.315506656543362005e-02, -2.875442909787918833e+00, 7.375019705654593805e-04, 2.704763510143269947e-02, 2.726678202363038567e-02
1.641000000003259629e+00, 1.443522828435591689e-02, 1.337084224834978081e-02, -4.738200151905053836e+00, 1.064386036006136071e-03, 2.780607053270569770e-02, 3.827890872801310157e-02
1.733999999996740371e+00, 1.407130809689507642e-02, 1.329193919911147818e-02, -4.849959051483313743e+00, 7.793688977835982329e-04, 2.736324729600655287e-02, 2.848232482616713801e-02
1.843999999982770532e+00, 1.460108571387479931e-02, 1.320820535393668789e-02, -3.028620903611594528e+00, 1.392880359938111420e-03, 2.780929106781148547e-02, 5.008687048302117029e-02
1.937999999994644895e+00, 1.429674537816872683e-02, 1.320820536055881955e-02, -9.368419016010276490e-02, 1.088540017609907276e-03, 2.750495073872754465e-02, 3.957614859775844540e-02
2.030999999988125637e+00, 1.407935942782017995e-02, 1.268486881091569762e-02, 2.902498476334119282e+00, 1.394490616904482325e-03, 2.676422823873587931e-02, 5.210277705247765706e-02
2.141000000003259629e+00, 1.374925483510546463e-02, 1.294895249758151907e-02, 4.762695467996842069e+00, 8.003023375239455561e-04, 2.669820733268698371e-02, 2.997588293293851000e-02
2.233999999996740371e+00, 1.366391071902479069e-02, 1.312286124734654037e-02, 4.833928201885556497e+00, 5.410494716782503211e-04, 2.678677196637133107e-02, 2.019838270761012411e-02
2.343999999982770532e+00, 1.372349057724712822e-02, 1.314218444837166912e-02, 2.949399656881188214e+00, 5.813061288754590994e-04, 2.686567502561879733e-02, 2.163750318282091356e-02
2.437999999994644895e+00, 1.338211411462079947e-02, 1.328388787650897941e-02, -7.628344665731535447e-03, 9.822623811182006059e-05, 2.666600199112977715e-02, 3.683575743543940090e-03
2.546999999991385266e+00, 1.420496020439865510e-02, 1.327583654140951537e-02, -2.964542953824301996e+00, 9.291236629891397314e-04, 2.748079674580817047e-02, 3.380992449321416210e-02
2.641000000003259629e+00, 1.395053812262848220e-02, 1.290708555383536862e-02, -4.792309003691062941e+00, 1.043452568793113572e-03, 2.685762367646385082e-02, 3.885126180048172756e-02
2.750000000000000000e+00, 1.426615032177017649e-02, 1.323235934566187669e-02, -4.755949256103376932e+00, 1.033790976108299800e-03, 2.749850966743205144e-02, 3.759443652077892190e-02
2.843999999982770532e+00, 1.411317501852234202e-02, 1.293123955216834813e-02, -2.893727643934525862e+00, 1.181935466353993894e-03, 2.704441457069069188e-02, 4.370349608657874557e-02
2.953000000008614734e+00, 1.416792407530037025e-02, 1.302463500615525481e-02, 3.960451373770017547e-01, 1.143289069145115439e-03, 2.719255908145562506e-02, 4.204418810750322477e-02
3.046999999991385266e+00, 1.410673395831999952e-02, 1.300853234111491556e-02, 3.267343612057301616e+00, 1.098201617205083955e-03, 2.711526629943491334e-02, 4.050122927348755869e-02
3.155999999988125637e+00, 1.408902102316794518e-02, 1.317600004034059913e-02, 4.885859998603424792e+00, 9.130209828273460476e-04, 2.726502106350854604e-02, 3.348689812858173659e-02
3.250000000000000000e+00, 1.416309327734905851e-02, 1.360916167288118463e-02, 4.664198383388737490e+00, 5.539316044678738865e-04, 2.777225495023024487e-02, 1.994550336155838724e-02
