# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 5.531172319516061009e+01, 4.702113653499098689e+01, 1.658346485706275075e+01, 8.290586660169621425e+00, 1.023328597301515970e+02, 1.620406903365331885e+01
1.000000000000000056e-01, 7.624601910013924233e-02, 4.231649380184823034e-02, 7.076917060831504180e+00, 3.491774313378850914e-02, 1.182752441005472110e-01, 5.061504717309601303e-02
2.000000000000000111e-01, 4.905647360201676604e-02, 4.322222324787500236e-02, 1.223975550636397713e+01, 3.624192028055456261e-02, 8.506420859495965325e-02, 6.957096674787614787e-02
3.000000000000000444e-01, 6.104734500839784084e-02, 6.465358883381083777e-02, 1.665746362003505254e+01, 2.606038121311939418e-02, 1.230227064177935176e-01, 5.814673134493043155e-02
4.000000000000000222e-01, 8.760871832148602045e-02, 5.807074745046792580e-02, 1.627994458808335310e+01, 3.690307351018883714e-02, 1.439901442331406600e-01, 5.547177034018819369e-02
5.000000000000000000e-01, 1.165361211608856445e-01, 9.289678470797278764e-02, 2.906341814011979707e+01, 2.572970270458021028e-02, 2.091863826527453341e-01, 2.446788937523556445e-02
6.000000000000000888e-01, 5.272526612893542464e-02, 3.685143374836035574e-02, 1.842515405972810782e+01, 2.447923934704548249e-02, 8.761695358972257375e-02, 4.042637326428502598e-02
7.000000000000000666e-01, 3.466025259959144844e-02, 3.203877996393276334e-02, 2.818294456096511524e+01, 1.502902526493551418e-02, 6.503661632707764817e-02, 2.902062979689605526e-02
8.000000000000000444e-01, 4.880533949770100161e-02, 3.060572446887156739e-02, 2.126677442459263290e+01, 2.972446291650341493e-02, 7.585380261942170632e-02, 5.110174090716036732e-02
9.000000000000000222e-01, 1.055523655653591714e-02, 1.674160078305354446e-02, 3.668796995786358650e+01, 1.675262224677875889e-02, 2.242182149032349511e-02, 3.413167813630316183e-02
1.000000000000000000e+00, 4.337673520623287066e-02, 6.543215252894075962e-02, 4.940332293337109490e+02, 3.623392625511927256e-02, 1.049424512367762713e-01, 8.291378967700181735e-02
1.100000000000000089e+00, 6.088489710624554047e-02, 7.621283627163626118e-02, 4.020473440922322084e+01, 3.341010579360143007e-02, 1.338450561181522835e-01, 7.765842325528359014e-02
1.200000000000000178e+00, 2.253673078953745065e-02, 2.560993895559003294e-02, 2.575720054614109600e+01, 2.477532237376591298e-02, 4.139721992180457610e-02, 4.886457563372126334e-02
1.300000000000000044e+00, 1.256649524582454380e-01, 1.036337891661869431e-01, 2.282091689638245668e+01, 2.399791959442819714e-02, 2.291012547361729046e-01, 2.002397387526354960e-02
1.400000000000000133e+00, 2.770619920331942460e-02, 3.728259869506325708e-02, 1.970105179490519021e+01, 2.340378388331387782e-02, 6.138007966307572338e-02, 5.093829011537486656e-02
1.500000000000000000e+00, 4.838462399207740794e-02, 4.230359322360825042e-02, 1.856695142880341365e+01, 1.536331013458130945e-02, 8.958404087043227160e-02, 2.823995252841061260e-02
1.600000000000000089e+00, 9.498795694325549988e-02, 6.403739083203792426e-02, 1.279795084381318304e+01, 3.124893055185488933e-02, 1.589669875069136262e-01, 3.640862288926084711e-02
1.700000000000000178e+00, 5.395664616294496702e-02, 5.347507865351782547e-02, 5.722857597953569631e+00, 1.841451244618967642e-02, 1.058428700275815398e-01, 4.084412581159088673e-02
1.800000000000000044e+00, 1.731267159894893035e-02, 1.968041520352376006e-02, 7.342938636903745042e+00, 3.300517560055862831e-02, 1.687462783377849385e-02, 6.651074310565779912e-02
1.900000000000000133e+00, 9.650121452628510066e-02, 7.497255834278800102e-02, 3.894004822215237915e+00, 2.511552172022486068e-02, 1.709852285659279325e-01, 2.917226541024994443e-02
2.000000000000000000e+00, 1.468805743180551238e-01, 1.012692342764191095e-01, 8.210910420941411658e+00, 4.579072124915137265e-02, 2.481167702783317885e-01, 5.080902499881043144e-02
2.100000000000000089e+00, 4.637018712228072048e-02, 2.119869522120835723e-02, 7.264410405444618135e+00, 2.627907250875522946e-02, 6.714587264868593364e-02, 4.115738133150503159e-02
2.200000000000000178e+00, 5.920114580674890742e-02, 7.670485607724050747e-02, 5.095448519526799558e+00, 1.919906842824095974e-02, 1.356768845191102246e-01, 5.728511637815245777e-02
2.300000000000000266e+00, 5.991484530741039011e-02, 6.350895369996986672e-02, 7.049437151129522405e+00, 1.846129737342037946e-02, 1.220882151390617898e-01, 4.337617436645201802e-02
2.400000000000000355e+00, 7.919736574567760867e-02, 8.287492173387563110e-02, 4.800299434929030440e+00, 1.576249383931047771e-02, 1.613458849021776609e-01, 4.500210348228152885e-02
2.500000000000000000e+00, 6.830800709110353142e-02, 6.977243890329302978e-02, 4.900908776233637631e+00, 2.499038598286800611e-03, 1.380655964845282357e-01, 2.462512664553984792e-02
2.600000000000000089e+00, 4.000468859385818837e-02, 7.114878796728864307e-02, 5.472331094228920279e+00, 3.147056334724412929e-02, 1.110614871142047155e-01, 7.876264688984804807e-02
2.700000000000000178e+00, 5.838554497149799072e-02, 5.288789461058146513e-02, 2.553321855034999643e+00, 8.968027719102550019e-03, 1.110476338998137025e-01, 1.677642686772733496e-02
2.800000000000000266e+00, 1.333308916754419836e-02, 3.578611002652777595e-02, 4.731559553074269786e+00, 3.677862851812864486e-02, 3.954954310085450481e-02, 7.616400484747244681e-02
2.900000000000000355e+00, 9.503551874246152220e-02, 7.486492164449813635e-02, 1.962041348586497369e+00, 2.110698637003725550e-02, 1.697866536490615086e-01, 1.724449510220842433e-02
3.000000000000000000e+00, 4.258967976308057624e-02, 2.424312259620100760e-02, 3.277653723928743101e+00, 2.934282994055751465e-02, 6.278708435778547481e-02, 5.106844827014854482e-02
3.100000000000000089e+00, 5.554383181908582878e-02, 4.762685513054758235e-02, 3.200402372622390690e+00, 1.204976944236973296e-02, 1.027699967010405058e-01, 1.759025424145804067e-02
3.200000000000000178e+00, 1.785478438085481151e-02, 8.943285064433977721e-03, 2.278264529386897497e+00, 1.862755721002755729e-02, 2.122652723476577824e-02, 3.369246829959111900e-02
3.300000000000000266e+00, 8.920036966891742303e-02, 8.920105432944658297e-02, 3.191349300497446251e+00, 1.551870478289167805e-02, 1.777251751637189958e-01, 4.061701539114404014e-02
3.400000000000000355e+00, 2.680875459423572374e-02, 3.795438303553060055e-02, 1.810202639862147578e+00, 1.356432068322178247e-02, 6.430006402334466353e-02, 3.412888704268644824e-02
3.500000000000000000e+00, 2.487970386132099671e-02, 3.125272841966582338e-02, 2.609202346158900454e+00, 6.940586859865653831e-03, 5.606508405274685664e-02, 2.078281324434142624e-02
3.600000000000000089e+00, 2.946030828149799261e-02, 1.195689486790185371e-02, 2.279747390044851940e+00, 2.005190448394937944e-02, 4.024519007797745795e-02, 3.405905940304761181e-02
3.700000000000000178e+00, 3.797762943350087295e-02, 2.104999762359584942e-02, 1.757395960503053578e+00, 1.744691398471779828e-02, 5.887623176710018308e-02, 2.438998734471949786e-02
3.800000000000000266e+00, 2.534742623022600769e-02, 3.977027244960625735e-02, 2.937649769388048782e+00, 2.115584586689708835e-02, 6.325158780680037451e-02, 4.840237095583966448e-02
3.900000000000000355e+00, 8.191295212562252348e-02, 7.550156762950641087e-02, 1.963254362865209490e+00, 4.610652864814006324e-02, 1.506473527710089355e-01, 8.873003278388354176e-02
4.000000000000000000e+00, 1.714996491160833457e-03, 1.127776059216451313e-02, 1.917813329928020227e+00, 1.194333448545394603e-02, 1.084504288817448453e-02, 2.442332907334046621e-02
4.100000000000000533e+00, 6.792541646167180036e-02, 7.920168711183921129e-02, 2.067515125309185020e+00, 1.166632652843009946e-02, 1.470966883075164322e-01, 4.442176146303283835e-02
4.200000000000000178e+00, 3.761051401818182177e-02, 3.829005456175955946e-02, 1.473864909555442804e+00, 2.597223761419502168e-03, 7.585916236580612926e-02, 1.283097099438515118e-02
4.299999999999999822e+00, 3.217888028130629074e-02, 2.168336193625356248e-02, 1.811347581366340886e+00, 1.150771682456900105e-02, 5.365509757254993684e-02, 1.546266781462200118e-02
4.400000000000000355e+00, 5.910188481990744785e-02, 5.054313404678466987e-02, 1.696799953351182388e+00, 3.290494690932247585e-02, 1.049406825114464897e-01, 6.107627382989911508e-02
4.500000000000000000e+00, 9.317220411831217408e-02, 7.369769105449471003e-02, 1.894962439306067559e+00, 2.053388056026927283e-02, 1.667428508908041229e-01, 1.814234352954417415e-02
4.600000000000000533e+00, 4.165438632571997341e-02, 4.621500971072569491e-02, 1.727818413864320890e+00, 2.665836413052634357e-02, 8.385202244045009135e-02, 5.537430600575696943e-02
4.700000000000000178e+00, 3.965567343789297428e-02, 4.077361551142971718e-02, 1.206844442713966847e+00, 1.137336636807824430e-02, 7.962893225976891420e-02, 2.696739150534670920e-02
4.800000000000000711e+00, 3.114880104998292085e-02, 5.418836373827673469e-02, 1.387633331423603344e+00, 2.865655431484537621e-02, 8.361850894249955868e-02, 6.768055031643904762e-02
4.900000000000000355e+00, 8.836997934703447188e-02, 7.862416158840893066e-02, 2.409250086716707706e+00, 9.813960552367700235e-03, 1.669901501551139256e-01, 7.605483864627148212e-03
5.000000000000000000e+00, 9.915510551638849479e-02, 9.652165023894052065e-02, 1.913969534218790569e+00, 4.625351682835143231e-03, 1.956398066637771160e-01, 2.694971553182161708e-02
5.100000000000000533e+00, 5.302600498244319088e-02, 2.862456685481448368e-02, 2.470125765547748653e+00, 2.790059115445739368e-02, 8.052206577876351579e-02, 4.423248804299812625e-02
5.200000000000000178e+00, 4.694689273274632590e-02, 5.362853845461312136e-02, 1.726384352104052056e+00, 7.733120102178623646e-03, 1.005000527440711583e-01, 2.962642829630746447e-02
5.300000000000000711e+00, 4.778169093975516424e-02, 3.668401245325970950e-02, 1.913245680991427111e+00, 1.124069739599671026e-02, 8.444678939733582523e-02, 9.194078790632335269e-03
5.400000000000000355e+00, 7.962203507532641944e-02, 6.510732704463434439e-02, 1.916770513498647910e+00, 1.451569689367847131e-02, 1.447292629448434509e-01, 6.219191701083086332e-03
5.500000000000000000e+00, 6.376802965755662411e-02, 5.512006054865847132e-02, 1.513364888492117366e+00, 3.009014960389333124e-02, 1.153418755673999846e-01, 5.599075700080163864e-02
5.600000000000000533e+00, 4.726567714148880578e-02, 4.924458639735769527e-02, 2.288323266476150142e+00, 7.202448376771265412e-03, 9.626147613433191919e-02, 2.307242997816969649e-02
5.700000000000000178e+00, 2.749120350834993384e-02, 4.194959224403513320e-02, 8.971467257826621911e-01, 1.446666194666543920e-02, 6.943907265853757615e-02, 3.764342072042087262e-02
5.800000000000000711e+00, 5.519161050432928178e-02, 6.330486562945165929e-02, 1.839708869132308910e+00, 1.512034942574562620e-02, 1.178075328580152487e-01, 4.344543689559696165e-02
5.900000000000000355e+00, 4.740525741014051109e-02, 4.957553813169218726e-02, 1.349207124318644091e+00, 7.835985776534886912e-03, 9.668806621939894652e-02, 2.428409870427866019e-02
6.000000000000000000e+00, 6.996173381915828104e-02, 4.817276747153949323e-02, 1.529235944332925534e+00, 2.303077666134450974e-02, 1.178986970923580763e-01, 2.743739296461875782e-02
6.100000000000000533e+00, 4.710168077348886317e-02, 2.974314911831733507e-02, 1.681506185845586643e+00, 2.046757170023513067e-02, 7.607578465595890571e-02, 2.974897022085347051e-02
6.200000000000000178e+00, 2.766672930102459169e-02, 2.747681865779188701e-02, 1.415425383594315800e+00, 3.310374571800414785e-03, 5.504442176763339051e-02, 1.080649629536240865e-02
6.300000000000000711e+00, 6.450207866571222581e-02, 5.726660517435394615e-02, 2.273825251168101413e+00, 2.419228277972759050e-02, 1.195604361596753762e-01, 4.594801310585723553e-02
6.400000000000000355e+00, 9.519558979779153829e-02, 8.924800161582438496e-02, 1.367697394439313596e+00, 6.605359342521354912e-03, 1.844212066078395329e-01, 1.833767976243136366e-02
6.500000000000000000e+00, 3.361965136472965660e-02, 4.403048240336489283e-02, 1.965484496036265849e+00, 2.994883980911737173e-02, 7.239472129379284637e-02, 6.302061928560848125e-02
6.600000000000000533e+00, 6.964897537111891523e-02, 3.228713982233713531e-02, 1.950346026329459415e+00, 3.971968960027407597e-02, 1.010407076101786511e-01, 6.216847487446560544e-02
6.700000000000000178e+00, 2.616736336342968816e-02, 7.444254255445341070e-03, 2.059657381511333263e+00, 2.301708774671372762e-02, 3.083033125490273335e-02, 4.091062697990334451e-02
6.800000000000000711e+00, 4.013202244743115099e-02, 1.578277814713473573e-02, 1.843865271316112997e+00, 2.763073161632053146e-02, 5.436812755532890312e-02, 4.632156217880401688e-02
6.900000000000000355e+00, 4.278534487499532912e-02, 3.988077603485681161e-02, 1.428516322272380457e+00, 5.953263866911271372e-03, 8.250262247807899074e-02, 1.242246508225623020e-02
7.000000000000000000e+00, 4.415595319142073816e-02, 1.777337568048282732e-02, 1.436650032445355496e+00, 2.639185535427893831e-02, 6.192537558710547313e-02, 4.159123176123996624e-02
7.100000000000000533e+00, 2.520006468111927328e-02, 3.333430115366365493e-02, 8.411860299914497574e-01, 2.078070915793989865e-02, 5.532268895818943238e-02, 4.589168410553935012e-02
7.200000000000000178e+00, 6.015596667040830348e-02, 6.097485392507234758e-02, 1.275237273713079711e+00, 1.734921791969952151e-02, 1.198847401133489865e-01, 3.908770126346550189e-02
7.300000000000000711e+00, 7.692551189675957135e-02, 8.985224164845836969e-02, 1.825947531783734146e+00, 4.540821564738694444e-02, 1.609969359068158246e-01, 9.916576540214734614e-02
7.400000000000000355e+00, 1.961155940193077055e-02, 3.863717343521688025e-02, 1.316221774214589857e+00, 2.056011498566661516e-02, 5.772495593981131351e-02, 4.875319846190844658e-02
7.500000000000000000e+00, 2.432600236965798413e-02, 1.748070441277662507e-02, 1.781161174452033036e+00, 1.742214124758175581e-02, 3.861512437452378765e-02, 3.184658352883387722e-02
7.600000000000000533e+00, 3.331318180600563450e-02, 1.040158339777355438e-02, 1.013686315256617565e+00, 2.306560223049022862e-02, 4.363370293920027648e-02, 3.800920958887989143e-02
7.700000000000000178e+00, 3.439812170599135244e-02, 1.802516492076352422e-02, 1.602391901982675337e+00, 2.527974894720076346e-02, 4.875663019332199255e-02, 4.359708079370679806e-02
7.800000000000000711e+00, 1.116739084596379827e-01, 9.693697467981980675e-02, 1.327178953560187225e+00, 2.790634246532087970e-02, 2.072604975186143339e-01, 4.652910507545802987e-02
7.900000000000000355e+00, 1.288247001979936635e-01, 1.175751594827947472e-01, 1.699763382389283040e+00, 1.131615822516660388e-02, 2.463968091920790415e-01, 1.685522116375543986e-02
8.000000000000000000e+00, 5.513731586562761744e-02, 6.080072632044079134e-02, 2.034868675021647366e+00, 5.742690548309938199e-03, 1.159341422928739374e-01, 2.953897270522065979e-02
8.099999999999999645e+00, 5.322088971321589645e-02, 7.828286959567264114e-02, 1.762365934133017564e+00, 2.599252041830521498e-02, 1.313230003857005779e-01, 7.049972923715229489e-02
8.200000000000001066e+00, 2.564144555226854916e-02, 3.294157245550331792e-02, 1.953790986911729366e+00, 9.380950035064035755e-03, 5.828601571682439503e-02, 2.568080671284177566e-02
8.300000000000000711e+00, 3.080746538368966947e-02, 2.763553366863272590e-02, 9.568995938222198960e-01, 2.457195574677304567e-02, 5.312122249923642570e-02, 4.678327528773756905e-02
8.400000000000000355e+00, 5.733762171579484535e-02, 4.945258638992045680e-02, 2.009752149072966176e+00, 2.451589828183203465e-02, 1.042367164716306027e-01, 4.550432880860722645e-02
8.500000000000000000e+00, 3.578733989793247972e-02, 9.727090287221221501e-03, 1.436525768709787876e+00, 3.631283313284205255e-02, 3.784280796556059590e-02, 6.510503820488507121e-02
8.599999999999999645e+00, 5.305011194049422119e-02, 3.980533992206370525e-02, 1.406306263979617777e+00, 1.954103562668640590e-02, 9.173716178875644667e-02, 3.107005406153508578e-02
8.700000000000001066e+00, 7.851481981371945251e-02, 4.765089936916538232e-02, 1.446161254966181087e+00, 3.316174043845411534e-02, 1.255813252567228866e-01, 4.634756032386858765e-02
8.800000000000000711e+00, 9.289402121956664982e-02, 6.813407726625378413e-02, 1.162143826838558436e+00, 3.460109756190782315e-02, 1.592038547713015839e-01, 5.275173502332669573e-02
8.900000000000000355e+00, 8.651699248109379070e-02, 9.654547162698599860e-02, 1.080411780746578954e+00, 1.032336286337988580e-02, 1.830460716281358258e-01, 4.815664591601807876e-02
9.000000000000000000e+00, 5.622048880912966506e-02, 2.187360254382583399e-02, 1.405813179578090599e+00, 3.486392049318209896e-02, 7.786464376217770711e-02, 5.630968664719070149e-02
9.099999999999999645e+00, 6.554825764724041270e-02, 4.535589668391742241e-02, 1.336954842871969973e+00, 2.262015835610092090e-02, 1.104345567525282235e-01, 3.001658697855180691e-02
9.200000000000001066e+00, 3.276283707061584949e-02, 7.230601167231284071e-03, 1.357854685859127164e+00, 2.934999111129714400e-02, 3.728200898660596202e-02, 5.221855307912864202e-02
9.300000000000000711e+00, 1.115931753333145038e-01, 7.582743123957058629e-02, 1.223088430688525907e+00, 4.438804754545341152e-02, 1.855677058483762853e-01, 6.364838493741731273e-02
9.400000000000000355e+00, 8.888249098559813932e-03, 2.985804420877119850e-02, 9.769127445898092565e-01, 2.522624413451513697e-02, 3.611985823460238387e-02, 5.508134594630653691e-02
9.500000000000000000e+00, 1.198919289405983718e-01, 9.840264304869482392e-02, 1.417870276479190172e+00, 2.155068858485380962e-02, 2.182885186849109482e-01, 8.333429529405423850e-03
9.600000000000001421e+00, 4.901660771256675930e-02, 2.802611185437979546e-02, 1.232230542894348524e+00, 2.139495126637244032e-02, 7.693138251034631336e-02, 2.896611699516751098e-02
9.700000000000001066e+00, 1.692877077888608681e-02, 3.644905867370491770e-02, 1.882271716510927062e+00, 2.746606390384966762e-02, 4.975791042835476380e-02, 5.895962435779635025e-02
9.800000000000000711e+00, 2.827744306395311991e-02, 3.820386273230904489e-02, 1.670120217235105509e+00, 2.697471170553360914e-02, 6.156835840114451008e-02, 5.743447780323050061e-02
9.900000000000000355e+00, 2.206917742645555028e-02, 1.010481512310818127e-02, 1.425940194684197637e+00, 1.382585767142331841e-02, 3.141906143656646166e-02, 2.241353600598482848e-02
1.000000000000000000e+01, 8.133793034410174982e-02, 5.025327245946797916e-02, 1.361167648511298012e+00, 3.108465788463554702e-02, 1.315912028035697290e-01, 4.011553164083636602e-02
