# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000053114491e-02, 6.050571774635931169e-03, 1.184430979345979691e-02, 3.967503545471305237e+00, -5.793738018823865743e-03, 1.789488156809572808e-02, -3.237650943247009638e-01
6.300000000010186341e-02, 6.404830347149110051e-03, 1.175735541920108762e-02, 2.800564941556410670e+00, -5.352525072051977570e-03, 1.816218576635019594e-02, -2.947070986339548337e-01
1.100000000005820766e-01, 7.119788560302026288e-03, 1.298759887447307158e-02, 1.349442942509270438e+00, -5.867810314171045295e-03, 2.010738743477509874e-02, -2.918236062842679557e-01
1.570000000001527951e-01, 6.263126921120938141e-03, 1.268808934344773515e-02, -2.111001242957646074e-01, -6.424962422326797006e-03, 1.895121626456867242e-02, -3.390263892634137743e-01
2.190000000000509317e-01, 7.512693523715356647e-03, 1.297793727664183112e-02, -1.760352610798586515e+00, -5.465243752926474477e-03, 2.049063080035718604e-02, -2.667191559974427806e-01
2.660000000005311449e-01, 7.606088971039786338e-03, 1.354797154972108876e-02, -3.151963447375014216e+00, -5.941882578681302422e-03, 2.115406052076087423e-02, -2.808861482101679963e-01
3.130000000001018634e-01, 8.037640326006834784e-03, 1.403105144340086562e-02, -4.220219878838487482e+00, -5.993411117394030832e-03, 2.206869176940769867e-02, -2.715798099868467208e-01
3.600000000005820766e-01, 7.924921685099754406e-03, 1.379273202638118916e-02, -4.861300595064143693e+00, -5.867810341281434749e-03, 2.171765371148094356e-02, -2.701862005553317125e-01
4.220000000004802132e-01, 8.044081391293542507e-03, 1.353508941824434555e-02, -5.023948376153975381e+00, -5.491008026950803048e-03, 2.157917080953788980e-02, -2.544587127751824496e-01
4.690000000000509317e-01, 8.217990144997418256e-03, 1.410834422392431842e-02, -4.690547061734710255e+00, -5.890354078926900161e-03, 2.232633436892173667e-02, -2.638298782771199003e-01
5.160000000005311449e-01, 8.208328548240008057e-03, 1.392477386530377968e-02, -3.898834208999983897e+00, -5.716445317063771625e-03, 2.213310241354378774e-02, -2.582758264185204822e-01
5.630000000001018634e-01, 8.375796237867508265e-03, 1.445294121258773254e-02, -2.702340897804457853e+00, -6.077144974720224274e-03, 2.282873745045524080e-02, -2.662059164642517906e-01
6.250000000000000000e-01, 9.158385657180212816e-03, 1.328388787330553149e-02, -1.032105119899666690e+00, -4.125502216125318672e-03, 2.244227353048574430e-02, -1.838272851688224352e-01
6.720000000004802132e-01, 9.979621449856123858e-03, 1.310997911452406114e-02, 6.071482629558968558e-01, -3.130357664667937287e-03, 2.308960056438018327e-02, -1.355743533085224106e-01
7.190000000000509317e-01, 9.197032056353925816e-03, 1.382171682886323971e-02, 2.053745861452854982e+00, -4.624684772509313896e-03, 2.301874888521716553e-02, -2.009094758177463469e-01
7.660000000005311449e-01, 9.190590989921884266e-03, 1.387002481195227094e-02, 3.385778285306443092e+00, -4.679433822030386672e-03, 2.306061580187415694e-02, -2.029188579452455288e-01
8.280000000004292815e-01, 9.387043466044998896e-03, 1.357373581799562606e-02, 4.388036989532136722e+00, -4.186692351950627167e-03, 2.296077928404062496e-02, -1.823410390456858821e-01
8.750000000000000000e-01, 8.897522532596157871e-03, 1.341270918952815368e-02, 4.954292448121368153e+00, -4.515186656931995807e-03, 2.231023172212431155e-02, -2.023818807966228372e-01
9.220000000004802132e-01, 9.393484530212924469e-03, 1.358017687560835254e-02, 5.006751133831838452e+00, -4.186692345395428075e-03, 2.297366140582127875e-02, -1.822387938709049415e-01
9.690000000000509317e-01, 6.095659228932510769e-03, 1.219534785321913645e-02, 4.520806068676502143e+00, -6.099688624286625678e-03, 1.829100708215164808e-02, -3.334801958629548535e-01
1.016000000000531145e+00, 8.082727789814706312e-03, 1.313574337517163862e-02, 3.771323349211673559e+00, -5.053015585356932307e-03, 2.121847116498634667e-02, -2.381423028109190265e-01
1.063000000000101863e+00, 7.583545245277806442e-03, 1.347067877405753664e-02, 2.654291952857059211e+00, -5.887133528779730195e-03, 2.105422401933534221e-02, -2.796176920779994690e-01
1.125000000000000000e+00, 6.913674490246414506e-03, 1.226297903126373663e-02, 1.098199581969039107e+00, -5.349304541017322126e-03, 1.917665352151014940e-02, -2.789488027729703501e-01
1.172000000000480213e+00, 7.567442579884361628e-03, 1.298115779959297528e-02, -4.667680705556472298e-01, -5.413715219708613649e-03, 2.054860037947733864e-02, -2.634590735978054599e-01
1.219000000000050932e+00, 9.499762112785907486e-03, 1.389900960019623509e-02, -2.076692500342797398e+00, -4.399247487410327603e-03, 2.339877171298214431e-02, -1.880118982899230684e-01
1.266000000000531145e+00, 7.242168803637797150e-03, 1.205686494147872184e-02, -3.330054787113736925e+00, -4.814696137840924692e-03, 1.929903374511651726e-02, -2.494786112832850511e-01
1.328000000000429281e+00, 9.251781100360522564e-03, 1.370899817120648997e-02, -4.388266233340809563e+00, -4.457217070845967410e-03, 2.296077927156701254e-02, -1.941230747497088016e-01
1.375000000000000000e+00, 9.490100507736213761e-03, 1.364458752213013396e-02, -4.922783380345106430e+00, -4.154487014393920194e-03, 2.313468802986634598e-02, -1.795782596692280242e-01
1.422000000000480213e+00, 9.351617607876318294e-03, 1.369611604191463446e-02, -4.986095612407498656e+00, -4.344498434038316162e-03, 2.304773364979095102e-02, -1.885000278141326924e-01
1.469000000000050932e+00, 6.517548985988409586e-03, 1.172192954672710181e-02, -4.607241440835831980e+00, -5.204380560738692228e-03, 1.823947853271551053e-02, -2.853360391528616535e-01
1.516000000000531145e+00, 9.029564359597962858e-03, 1.321625668576413386e-02, -3.724892564748472523e+00, -4.186692326166170999e-03, 2.224582104536209498e-02, -1.882012948692235732e-01
1.578000000000429281e+00, 9.312971219870423700e-03, 1.318405136648390444e-02, -2.425000199380590082e+00, -3.871080146613480738e-03, 2.249702258635432814e-02, -1.720707765551829915e-01
1.625000000000000000e+00, 8.652762057674913063e-03, 1.268486880452574656e-02, -1.041753804222619317e+00, -4.032106746850833492e-03, 2.133763086220066135e-02, -1.889669369992550974e-01
1.672000000000480213e+00, 9.928092935153766396e-03, 1.308743538017395798e-02, 5.784241926515470977e-01, -3.159342445020191584e-03, 2.301552831532772264e-02, -1.372700379385232150e-01
1.719000000000050932e+00, 7.544898863647531498e-03, 1.261723761523106217e-02, 2.191859060505271017e+00, -5.072338751583530675e-03, 2.016213647887859367e-02, -2.515774435361649575e-01
1.766000000000531145e+00, 7.976450216485313563e-03, 1.279758744724890894e-02, 3.361474729514987381e+00, -4.821137230763595377e-03, 2.077403766373422250e-02, -2.320751174520098159e-01
1.828000000000429281e+00, 9.106857144304814078e-03, 1.332897535014536915e-02, 4.419626839300407006e+00, -4.222118205840555069e-03, 2.243583249445018496e-02, -1.881863847434658288e-01
1.875000000000000000e+00, 9.792830569623177384e-03, 1.395053812629123632e-02, 4.953622502767157876e+00, -4.157707556668058940e-03, 2.374336869591441371e-02, -1.751102638347812601e-01
1.922000000000480213e+00, 8.907184125562388893e-03, 1.323880043377116504e-02, 5.003742816523618409e+00, -4.331616308208776148e-03, 2.214598455933355220e-02, -1.955937563581110483e-01
1.969000000000050932e+00, 7.493370343668058486e-03, 1.237891821388717971e-02, 4.619489503771148087e+00, -4.885547870219121222e-03, 1.987228855755523993e-02, -2.458472689780707710e-01
