# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 2.095819249791841532e-01, 2.014500690134168881e-01, -3.355403969297864109e+00, 8.131855965767265104e-03, 4.110319939926010413e-01, 1.978399755887043365e-02
7.800000000861473382e-02, 2.030442348116531515e-01, 1.942038611556524685e-01, -4.468914401427106498e+00, 8.840373656000682923e-03, 3.972480959673055922e-01, 2.225403657247048209e-02
1.250000000000000000e-01, 2.081326832955950334e-01, 1.972279451765394098e-01, -4.963306031228785997e+00, 1.090473811905562362e-02, 4.053606284721344433e-01, 2.690132527215884778e-02
1.719999999913852662e-01, 2.128604318396006001e-01, 2.006449348035108937e-01, -4.965087070615845199e+00, 1.221549703608970638e-02, 4.135053666431114938e-01, 2.954132647722723659e-02
2.190000000118743628e-01, 2.109957408542492696e-01, 1.973825309611209888e-01, -4.412021695323217862e+00, 1.361320989312828078e-02, 4.083782718153702307e-01, 3.333480459823013470e-02
2.810000000172294676e-01, 2.130117971108131114e-01, 2.028735463530522698e-01, -3.498765034532701268e+00, 1.013825075776084161e-02, 4.158853434638654090e-01, 2.437751394006918912e-02
3.280000000086147338e-01, 2.136301402273671768e-01, 2.028187972215778900e-01, -2.155743758185698411e+00, 1.081134300578928675e-02, 4.164489374489450668e-01, 2.596078902738157071e-02
3.750000000000000000e-01, 2.154561848915641786e-01, 2.053726830582681961e-01, -7.079692057973677732e-01, 1.008350183329598249e-02, 4.208288679498323748e-01, 2.396105068176561381e-02
4.219999999913852662e-01, 2.141679699334571585e-01, 2.018494156017944241e-01, 8.133022567454243346e-01, 1.231855433166273439e-02, 4.160173855352515826e-01, 2.961067195740768251e-02
4.839999999967403710e-01, 2.138330340816183284e-01, 2.019234879780211489e-01, 2.433957472797642296e+00, 1.190954610359717947e-02, 4.157565220596394773e-01, 2.864548232363935826e-02
5.310000000172294676e-01, 2.115528937622553618e-01, 2.024548765600089062e-01, 3.603158337845235426e+00, 9.098017202246455604e-03, 4.140077703222642680e-01, 2.197547450658847781e-02
5.780000000086147338e-01, 2.084998245437411357e-01, 2.004259382877457696e-01, 4.558425483957540436e+00, 8.073886255995366135e-03, 4.089257628314869053e-01, 1.974413693109013448e-02
6.250000000000000000e-01, 2.096592178959117425e-01, 2.006706990896063025e-01, 4.985692922074904665e+00, 8.988518806305439979e-03, 4.103299169855180173e-01, 2.190558970776356265e-02
6.719999999913852662e-01, 2.052953901835571360e-01, 1.969155531285408378e-01, 4.970242299259808760e+00, 8.379837055016298164e-03, 4.022109433120979460e-01, 2.083443326034496723e-02
7.339999999967403710e-01, 2.102292529809145771e-01, 1.990572101226772139e-01, 4.452025153276761849e+00, 1.117204285823736321e-02, 4.092864631035917911e-01, 2.729638985252654665e-02
7.810000000172294676e-01, 2.077913063579801822e-01, 1.998494621850521458e-01, 3.407244399544214097e+00, 7.941844172928036460e-03, 4.076407685430323280e-01, 1.948245805078169246e-02
