# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 2.150858230641487234e-01, 2.120102100123170963e-01, -2.179405039654395804e+00, 3.075613051831627143e-03, 4.270960330764658197e-01, 7.201221303034158368e-03
6.299999999464489520e-02, 2.128797550371353542e-01, 2.104192646529879640e-01, -1.022640005378021799e+00, 2.460490384147390186e-03, 4.232990196901232904e-01, 5.812653159340166152e-03
9.399999998277053237e-02, 2.089313764785412642e-01, 2.045321228772670752e-01, 2.036593654692623323e-01, 4.399253601274188963e-03, 4.134634993558083393e-01, 1.064000476010189787e-02
1.410000000032596290e-01, 2.165479469597082207e-01, 2.163579352634619479e-01, 1.481696160026467979e+00, 1.900116962462727876e-04, 4.329058822231701686e-01, 4.389214932134338472e-04
1.719999999913852662e-01, 2.193176090743544637e-01, 2.200905380459001470e-01, 2.634500998624799362e+00, -7.729289715456832965e-04, 4.394081471202546108e-01, -1.759022850648585485e-03
2.030000000086147338e-01, 2.154271999795361048e-01, 2.143708637722019639e-01, -3.020728533816323225e+00, 1.056336207334140909e-03, 4.297980637517380686e-01, 2.457750037571846107e-03
2.500000000000000000e-01, 2.125126137938661008e-01, 2.122453092226798121e-01, -1.920924996832951592e+00, 2.673045711862886975e-04, 4.247579230165459130e-01, 6.293103829304583967e-04
2.820000000065192580e-01, 2.166316809575573321e-01, 2.159457065102646511e-01, -7.018051248684450405e-01, 6.859744472926809777e-04, 4.325773874678219832e-01, 1.585784340943407209e-03
3.280000000086147338e-01, 2.200229067587247400e-01, 2.189343651446084837e-01, 5.632425321834587661e-01, 1.088541614116256273e-03, 4.389572719033332238e-01, 2.479835017646031883e-03
3.600000000151339918e-01, 2.167057533160928473e-01, 2.138137108319880797e-01, 1.790934381172870626e+00, 2.892042484104767608e-03, 4.305194641480809548e-01, 6.717564999825476404e-03
4.070000000065192580e-01, 2.146446094273953276e-01, 2.148990318860387883e-01, 2.907745817830902357e+00, -2.544224586434606916e-04, 4.295436413134341436e-01, -5.923087532281985038e-04
4.530000000086147338e-01, 2.129699300702558307e-01, 2.123322637223201415e-01, 3.866409930349819835e+00, 6.376663479356892150e-04, 4.253021937925759444e-01, 1.499325320307859366e-03
4.850000000151339918e-01, 2.154175383932940280e-01, 2.137106536455590233e-01, 4.471334037930659200e+00, 1.706884747735004648e-03, 4.291281920388530513e-01, 3.977563766261398015e-03
5.160000000032596290e-01, 2.131792649903022918e-01, 2.121390314986293379e-01, 4.906030680373660857e+00, 1.040233491672953869e-03, 4.253182964889316020e-01, 2.445776493182264758e-03
5.629999999946448952e-01, 2.121100466510366656e-01, 2.103612949909244301e-01, 5.039746016833601239e+00, 1.748751660112235484e-03, 4.224713416419610956e-01, 4.139337956784485718e-03
5.940000000118743628e-01, 2.166574452600815159e-01, 2.162194521923543611e-01, 4.863212284108050731e+00, 4.379930677271548500e-04, 4.328768974524358493e-01, 1.011818995896590070e-03
6.410000000032596290e-01, 2.153627892521896847e-01, 2.171373053188475066e-01, 4.367236921135674521e+00, -1.774516066657821911e-03, 4.325000945710372191e-01, -4.102926424600726769e-03
6.720000000204890966e-01, 2.125061727262853584e-01, 2.089925667232030160e-01, 3.602684887875304831e+00, 3.513606003082342388e-03, 4.214987394494883466e-01, 8.335982232524343991e-03
7.190000000118743628e-01, 2.137331973955166609e-01, 2.120649591339238138e-01, 2.643361032378091391e+00, 1.668238261592847049e-03, 4.257981565294404747e-01, 3.917908605312390817e-03
7.660000000032596290e-01, 2.120875028806510354e-01, 2.129216220206366084e-01, 1.436021829326620702e+00, -8.341191399855729660e-04, 4.250091249012876160e-01, -1.962591133024038040e-03
7.970000000204890966e-01, 2.116817152008823033e-01, 2.084772807612866319e-01, 1.403210796689343676e-01, 3.204434439595671424e-03, 4.201589959621689352e-01, 7.626718624118661478e-03
8.440000000118743628e-01, 2.142356012054316416e-01, 2.134047026243440226e-01, -1.107143286682084060e+00, 8.308985810876190481e-04, 4.276403038297756920e-01, 1.942984731903011318e-03
8.750000000000000000e-01, 2.165672702246436709e-01, 2.128990782921073299e-01, -2.301682438710212608e+00, 3.668191932536341016e-03, 4.294663485167510286e-01, 8.541279066928489372e-03
9.220000000204890966e-01, 2.115625553270975567e-01, 2.087703496418796822e-01, -3.330161066390382452e+00, 2.792205685217874489e-03, 4.203329049689772390e-01, 6.642843451487467910e-03
9.690000000118743628e-01, 2.120037689174647244e-01, 2.097526134459815339e-01, -4.165923301288319891e+00, 2.251155471483190507e-03, 4.217563823634462583e-01, 5.337572981985770106e-03
1.000000000000000000e+00, 2.126800817208032990e-01, 2.085867790220367335e-01, -4.744325748629090178e+00, 4.093302698766565495e-03, 4.212668607428400325e-01, 9.716650133714883203e-03
1.047000000020489097e+00, 2.127477130146840090e-01, 2.093339436479602911e-01, -5.002289234490073788e+00, 3.413769366723717891e-03, 4.220816566626443000e-01, 8.087935859890326568e-03
1.078000000008614734e+00, 2.175463135560418149e-01, 2.135045392644557560e-01, -4.951850052531325375e+00, 4.041774291586058832e-03, 4.310508528204975986e-01, 9.376560248377872886e-03
