# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 8.421774565176659566e-02, 7.411332010760127154e-02, -4.982459455331171405e+00, 1.010442554416532412e-02, 1.583310657593678672e-01, 6.381833846506197727e-02
1.250000000000000000e-01, 8.514364922041270378e-02, 7.557705278361004364e-02, -4.982502934623711077e+00, 9.566596436802660142e-03, 1.607207020040227474e-01, 5.952311256432425007e-02
2.350000000005820766e-01, 8.433690541460960033e-02, 7.449978418050116902e-02, -4.381201928584260052e+00, 9.837121234108431311e-03, 1.588366895951107693e-01, 6.193229825668208205e-02
3.279999999940628186e-01, 8.615489695639537426e-02, 7.727105367083172971e-02, 5.045517871517299469e+00, 8.883843285563644554e-03, 1.634259506272270901e-01, 5.436005268115343125e-02
4.220000000059371814e-01, 8.389730250497232089e-02, 7.431943428960932629e-02, 5.045696631612421434e+00, 9.577868215362994597e-03, 1.582167367945816472e-01, 6.053637819492053984e-02
5.310000000026775524e-01, 8.415333497038882116e-02, 7.530330741161649077e-02, 5.045954303663869212e+00, 8.850027558772330383e-03, 1.594566423820052981e-01, 5.550115333276989249e-02
6.250000000000000000e-01, 8.509051041235281276e-02, 7.638218628424066348e-02, 5.045062114200828063e+00, 8.708324128112149287e-03, 1.614726966965934762e-01, 5.393062917921692678e-02
7.350000000005820766e-01, 8.426122286041115572e-02, 7.526627126677437607e-02, 5.045081439471490903e+00, 8.994951593636779652e-03, 1.595274941271855318e-01, 5.638496136888747345e-02
8.279999999940628186e-01, 8.520322910531021032e-02, 7.626624706294717060e-02, 5.045355216120631425e+00, 8.936982042363039724e-03, 1.614694761682573809e-01, 5.534781095747385443e-02
9.379999999946448952e-01, 8.424995099096081741e-02, 7.572036655330834087e-02, 5.045137805128115716e+00, 8.529584437652476536e-03, 1.599703175442691583e-01, 5.331979437555379314e-02
1.031000000002677552e+00, 8.464929722708956772e-02, 7.624370332441995912e-02, 5.045321396627216792e+00, 8.405593902669608597e-03, 1.608930005515095130e-01, 5.224337835615525810e-02
1.125000000000000000e+00, 8.391984624209979093e-02, 7.524211726471864703e-02, 5.045331059244714922e+00, 8.677728977381143904e-03, 1.591619635068184380e-01, 5.452137424158751827e-02
1.235000000000582077e+00, 8.648178117757360228e-02, 7.717604791613730253e-02, 5.045337501063646535e+00, 9.305733261436299752e-03, 1.636578290937109048e-01, 5.686091104207310898e-02
1.327999999994062819e+00, 8.453174773141121368e-02, 7.578638750185072437e-02, 5.045411581819437608e+00, 8.745360229560489307e-03, 1.603181352332619380e-01, 5.455003712983588771e-02
1.422000000005937181e+00, 8.383450209104155448e-02, 7.540958503467554142e-02, 5.045224769516084784e+00, 8.424917056366013068e-03, 1.592440871257170820e-01, 5.290568214137122277e-02
1.531000000002677552e+00, 8.404705734180545340e-02, 7.575418216562536389e-02, 5.045579068669534095e+00, 8.292875176180089514e-03, 1.598012395074308034e-01, 5.189493649574895145e-02
1.625000000000000000e+00, 8.599225997794196497e-02, 7.719215058132013196e-02, 5.045343942891494571e+00, 8.800109396621833002e-03, 1.631844105592620831e-01, 5.392739028478448632e-02
1.735000000000582077e+00, 8.536264554720335296e-02, 7.623565198964041278e-02, 5.045619329841269263e+00, 9.126993557562940174e-03, 1.615982975368437657e-01, 5.647951554367101196e-02
1.827999999994062819e+00, 8.474752352487840978e-02, 7.596512714019239276e-02, 5.045084660387888498e+00, 8.782396384686017021e-03, 1.607126506650707887e-01, 5.464657790374419233e-02
