# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 4.755917745418818815e-03, 6.602893109567524628e-03, -3.511415876807705949e+00, -1.846975364148705813e-03, 1.135881085498634258e-02, -1.626028805064494986e-01
1.250000000000000000e-01, 4.768799872210022738e-03, 6.279229597323782337e-03, -4.761460898365432182e-01, -1.510429725113759600e-03, 1.104802946953380507e-02, -1.367148530223367964e-01
2.349999999860301614e-01, 4.696337898547006846e-03, 6.590010979946445482e-03, 2.557489441971162680e+00, -1.893673081399438636e-03, 1.128634887849345320e-02, -1.677843828669784709e-01
3.289999999979045242e-01, 4.440305568903668391e-03, 6.647980579249365869e-03, 4.613164017110468862e+00, -2.207675010345697478e-03, 1.108828614815303426e-02, -1.990997509307087798e-01
4.219999999913852662e-01, 4.429033701869447733e-03, 6.723663084187286865e-03, 4.912720534521922922e+00, -2.294629382317839132e-03, 1.115269678605673373e-02, -2.057465944189049156e-01
5.320000000065192580e-01, 4.485393021190216094e-03, 6.564246726834701944e-03, 3.343767926306029370e+00, -2.078853705644485850e-03, 1.104963974802491804e-02, -1.881376907347656613e-01
6.250000000000000000e-01, 4.255124957804101542e-03, 6.834771445345111385e-03, 5.017579013941250166e-01, -2.579646487541009843e-03, 1.108989640314921379e-02, -2.326123160905690657e-01
7.349999999860301614e-01, 4.417761840383030610e-03, 6.279229594979961887e-03, -2.529916225340815394e+00, -1.861467754596931277e-03, 1.069699143536299163e-02, -1.740178783768245863e-01
8.289999999979045242e-01, 4.456408229069543092e-03, 6.540092723145020381e-03, -4.578157471208307960e+00, -2.083684494075477289e-03, 1.099650095221456347e-02, -1.894861377387366264e-01
9.219999999913852662e-01, 4.503105951027485364e-03, 6.736545203812161625e-03, -4.896855332502791924e+00, -2.233439252784676261e-03, 1.123965115483964786e-02, -1.987107270516119406e-01
1.032000000006519258e+00, 4.873467180618975755e-03, 6.627047099437875961e-03, -3.090975906569859877e+00, -1.753579918818900206e-03, 1.150051428005685258e-02, -1.524783914976566845e-01
1.141000000003259629e+00, 5.087632584167299521e-03, 6.749427340642373367e-03, -1.403673969733470472e-01, -1.661794756475073846e-03, 1.183705992480967376e-02, -1.403891478991387831e-01
1.234999999986030161e+00, 4.693117365115286217e-03, 6.805786661859635107e-03, 2.836402129805167149e+00, -2.112669296744348890e-03, 1.149890402697492132e-02, -1.837278832650749705e-01
1.344000000011874363e+00, 4.469290361031576925e-03, 6.493395017505438835e-03, 4.735802871422959193e+00, -2.024104656473861910e-03, 1.096268537853701576e-02, -1.846358430058294142e-01
1.437999999994644895e+00, 4.430643970575285674e-03, 6.929777161805251301e-03, 4.831770215717265948e+00, -2.499133191229965627e-03, 1.136042113238053611e-02, -2.199859637339237617e-01
1.546999999991385266e+00, 4.437085037848603059e-03, 6.351691585113321964e-03, 3.083481765440910571e+00, -1.914606547264718905e-03, 1.078877662296192502e-02, -1.774628036314915835e-01
1.641000000003259629e+00, 3.878322660447279784e-03, 6.375845574909741985e-03, 1.686315384145343765e-01, -2.497522914462462201e-03, 1.025416823535702134e-02, -2.435617260355496250e-01
1.734999999986030161e+00, 4.586839793619152707e-03, 6.657642168818671789e-03, -2.825968700492869523e+00, -2.070802375199519083e-03, 1.124448196243782450e-02, -1.841616520989611816e-01
1.844000000011874363e+00, 4.585229526613343772e-03, 6.569077515561305008e-03, -4.726784505062362030e+00, -1.983847988947961237e-03, 1.115430704217464791e-02, -1.778548843461986440e-01
1.937999999994644895e+00, 4.623875917736077618e-03, 6.596452041165639518e-03, -4.817699171563589289e+00, -1.972576123429561901e-03, 1.122032795890171714e-02, -1.758037849387999729e-01
2.046999999991385266e+00, 4.812277062949127035e-03, 6.356522374699921998e-03, -3.063174361896353837e+00, -1.544245311750794963e-03, 1.116879943764904903e-02, -1.382642172394356606e-01
2.157000000006519258e+00, 4.804225729738370934e-03, 6.712391217126228299e-03, 1.853944336540226112e-01, -1.908165487387857365e-03, 1.151661694686459923e-02, -1.656880224628254072e-01
2.250000000000000000e+00, 4.599721922613563864e-03, 6.833161188101952339e-03, 3.096762298400148161e+00, -2.233439265488388475e-03, 1.143288311071551620e-02, -1.953522347652700553e-01
2.344000000011874363e+00, 4.783292271566653465e-03, 6.654421640793610655e-03, 4.823761515491266749e+00, -1.871129369226957190e-03, 1.143771391236026412e-02, -1.635929507910584280e-01
2.453999999997904524e+00, 4.683455767990292451e-03, 6.767140271789380546e-03, 4.740603565230503413e+00, -2.083684503799088095e-03, 1.145059603977967300e-02, -1.819717066745096257e-01
2.546999999991385266e+00, 4.411320775638325094e-03, 6.590010984640256794e-03, 2.828851260429186887e+00, -2.178690209001931700e-03, 1.100133176027858276e-02, -1.980387698940515862e-01
2.657000000006519258e+00, 4.536921544021285668e-03, 6.594841789857792611e-03, -1.581495567174072414e-01, -2.057920245836506942e-03, 1.113176333387907828e-02, -1.848692057235270803e-01
2.750000000000000000e+00, 4.548193406141534320e-03, 6.929777153801618822e-03, -3.085336690370472201e+00, -2.381583747660084502e-03, 1.147797055994315314e-02, -2.074917107708524888e-01
2.844000000011874363e+00, 4.636758046561819009e-03, 6.503056599190162011e-03, -4.820040595349982304e+00, -1.866298552628343002e-03, 1.113981464575198102e-02, -1.675340759228907683e-01
2.953999999997904524e+00, 4.739815085195895998e-03, 6.599672575690825743e-03, -4.701729336644338453e+00, -1.859857490494929745e-03, 1.133948766088672261e-02, -1.640160072584349038e-01
3.046999999991385266e+00, 4.987796082102121178e-03, 6.610944438314831154e-03, -2.779425215976198515e+00, -1.623148356212709975e-03, 1.159874052041695233e-02, -1.399417767261475765e-01
3.157000000006519258e+00, 4.855754252330883938e-03, 6.668914038834002599e-03, 2.361114673996869140e-01, -1.813159786503118660e-03, 1.152466829116488567e-02, -1.573285877471314875e-01
3.250000000000000000e+00, 4.723712422760480839e-03, 6.530431137443643876e-03, 3.152704212256742355e+00, -1.806718714683163036e-03, 1.125414356020412385e-02, -1.605380902614319816e-01
3.359999999986030161e+00, 4.506326481140369468e-03, 6.382286647425943621e-03, 4.925203068928607486e+00, -1.875960166285574153e-03, 1.088861312856631222e-02, -1.722864192285412932e-01
3.469000000011874363e+00, 4.234191493349471515e-03, 7.024782876679118437e-03, 4.588476235613178744e+00, -2.790591383329646923e-03, 1.125897437002858908e-02, -2.478548481963158689e-01
3.562999999994644895e+00, 4.420982374905122088e-03, 6.916895029670213496e-03, 2.496780170249246034e+00, -2.495912654765091408e-03, 1.133787740457533472e-02, -2.201393228822425274e-01
3.657000000006519258e+00, 4.208427231918985580e-03, 6.891130768735681533e-03, -5.443262236969919066e-01, -2.682703536816695954e-03, 1.109955800065466625e-02, -2.416946275390845777e-01
3.766000000003259629e+00, 4.256735218517849854e-03, 6.846043310039507529e-03, -3.372806756524835414e+00, -2.589308091521657675e-03, 1.110277852855735825e-02, -2.332126219451933768e-01
3.858999999996740371e+00, 4.398438646550243206e-03, 6.767140266461194736e-03, -3.521554288532495747e+00, -2.368701619910951531e-03, 1.116557891301143794e-02, -2.121431981597177718e-01
3.967999999993480742e+00, 4.345299860858072710e-03, 6.557805650994003380e-03, -4.951357318687681364e+00, -2.212505790135930669e-03, 1.090310551185207609e-02, -2.029243675327965513e-01
4.062000000005355105e+00, 4.844482388938278934e-03, 6.854094638905247096e-03, -4.485707067912072965e+00, -2.009612249966968162e-03, 1.169857702784352603e-02, -1.717826232356237937e-01
4.155999999988125637e+00, 4.891180107721541069e-03, 6.643149764833280145e-03, -2.288591243987554424e+00, -1.751969657111739076e-03, 1.153432987255482121e-02, -1.518917593366594654e-01
4.264999999984866008e+00, 4.958811288812575886e-03, 6.744596543446516358e-03, 7.732406604514590054e-01, -1.785785254633940472e-03, 1.170340783225909224e-02, -1.525867747436460142e-01
4.358999999996740371e+00, 4.443526103321379823e-03, 6.469241016861747816e-03, 3.545483622232407761e+00, -2.025714913540367992e-03, 1.091276712018312764e-02, -1.856279797077145244e-01
4.467999999993480742e+00, 4.863805587029931300e-03, 6.747817079803910580e-03, 4.964246656352954368e+00, -1.884011492773979279e-03, 1.161162266683384188e-02, -1.622522145983318897e-01
4.562000000005355105e+00, 4.391997582203790301e-03, 6.734934951861951818e-03, 4.496471356987360224e+00, -2.342937369658161517e-03, 1.112693253406574212e-02, -2.105645345188464357e-01
4.671999999991385266e+00, 4.235801758958664121e-03, 6.668914029447256878e-03, 2.036619353737309623e+00, -2.433112270488592757e-03, 1.090471578840592100e-02, -2.231247762619837371e-01
4.764999999984866008e+00, 4.272837881092746322e-03, 6.572298056021929138e-03, -1.041153189957426894e+00, -2.299460174929182817e-03, 1.084513593711467633e-02, -2.120268651552696948e-01
4.875000000000000000e+00, 4.627096449218462589e-03, 6.891130764401678759e-03, -3.722817245367772365e+00, -2.264034315183216170e-03, 1.151822721362014135e-02, -1.965610048485610384e-01
4.967999999993480742e+00, 4.469290360048896842e-03, 6.670524287595296260e-03, -4.986354889113719047e+00, -2.201233927546399419e-03, 1.113981464764419310e-02, -1.976005882657938251e-01
5.077999999979510903e+00, 4.754307479034282878e-03, 6.607723903819766667e-03, -4.313604010195681404e+00, -1.853416424785483789e-03, 1.136203138285404868e-02, -1.631236846944811858e-01
5.171999999991385266e+00, 4.897621175615454910e-03, 6.543313261949167473e-03, -1.990541865492713169e+00, -1.645692086333712563e-03, 1.144093443756462325e-02, -1.438424540682905206e-01
5.264999999984866008e+00, 4.805835999491937620e-03, 6.694678288981428978e-03, 1.099757304650457179e+00, -1.888842289489491358e-03, 1.150051428847336660e-02, -1.642398106824338733e-01
5.375000000000000000e+00, 4.541752341114333423e-03, 6.369404510682145394e-03, 3.777726826735945842e+00, -1.827652169567811971e-03, 1.091115685179647882e-02, -1.675030608021088330e-01
5.467999999993480742e+00, 4.538531810125279523e-03, 6.256685882440657549e-03, 5.006875154909820047e+00, -1.718154072315378027e-03, 1.079521769256593794e-02, -1.591588165469395300e-01
5.577999999979510903e+00, 4.477341691545525838e-03, 6.681796162960058905e-03, 4.339006834852050076e+00, -2.204454471414533066e-03, 1.115913785450558388e-02, -1.975470238074412133e-01
5.671999999991385266e+00, 4.356571726433539245e-03, 6.697898820861908700e-03, 2.007971966898947080e+00, -2.341327094428369456e-03, 1.105447054729544881e-02, -2.117991164218345213e-01
5.780999999988125637e+00, 4.303432938983279415e-03, 6.559415923430324258e-03, -1.384179208077040535e+00, -2.255982984447044842e-03, 1.086284886241360367e-02, -2.076787602424388923e-01
5.889999999984866008e+00, 4.403269444443560533e-03, 6.478902607050336139e-03, -3.966918274434787062e+00, -2.075633162606775606e-03, 1.088217205149389667e-02, -1.907370286726751685e-01
5.983999999996740371e+00, 4.784902537272091132e-03, 6.391948230408725680e-03, -5.016680889513168928e+00, -1.607045693136634548e-03, 1.117685076768081681e-02, -1.437834079151881495e-01
