# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 3.024541985956296641e-01, 2.937941681497456270e-01, 1.626447852590032772e+00, 8.660030445884037142e-03, 5.962483667453752911e-01, 1.452419986180399428e-02
1.250000000000000000e-01, 2.964253487225732009e-01, 2.802099343726247027e-01, -1.623470706796120266e+00, 1.621541434994849817e-02, 5.766352830951979591e-01, 2.812074603362670067e-02
2.190000000118743628e-01, 2.976926309469353771e-01, 2.804546950597899824e-01, -4.109427394620079887e+00, 1.723793588714539471e-02, 5.781473260067253594e-01, 2.981581875714646446e-02
3.129999999946448952e-01, 2.944737019748357443e-01, 2.818282554391606243e-01, -5.009165408129806707e+00, 1.264544653567512000e-02, 5.763019574139963686e-01, 2.194239733701103257e-02
4.220000000204890966e-01, 2.946105747990024337e-01, 2.649172059362522313e-01, -3.997190436307432204e+00, 2.969336886275020237e-02, 5.595277807352546651e-01, 5.306862301587823155e-02
5.160000000032596290e-01, 2.961177872258562993e-01, 2.679734971871443050e-01, -1.448101794629030215e+00, 2.814429003871199431e-02, 5.640912844130006043e-01, 4.989314817724802009e-02
6.250000000000000000e-01, 2.940824063472375349e-01, 2.690861931559423437e-01, 1.654872818629615328e+00, 2.499621319129519126e-02, 5.631685995031798786e-01, 4.438495543492042977e-02
7.190000000118743628e-01, 2.945719283365210162e-01, 2.771423709315819495e-01, 4.124680005493511104e+00, 1.742955740493906669e-02, 5.717142992681030211e-01, 3.048648149478162470e-02
8.129999999946448952e-01, 2.960791408788182588e-01, 2.857669747698444174e-01, 5.029883622907810548e+00, 1.031216610897384145e-02, 5.818461156486627317e-01, 1.772318458717812850e-02
9.220000000204890966e-01, 2.966572275443926099e-01, 2.713631141305938299e-01, 3.841795811511640846e+00, 2.529411341379877998e-02, 5.680203416749864953e-01, 4.453029505811559319e-02
1.032000000006519258e+00, 3.011450492549738733e-01, 2.759910282660188452e-01, 1.199929934998263503e+00, 2.515402098895502814e-02, 5.771360775209927185e-01, 4.358421171138807809e-02
1.125000000000000000e+00, 2.998648848138333323e-01, 2.773146696639646192e-01, -1.938580184121494243e+00, 2.255021514986871312e-02, 5.771795544777980069e-01, 3.906967073750727826e-02
1.235000000015133992e+00, 2.978504373926729731e-01, 2.744113539848073713e-01, -4.312734441743855562e+00, 2.343908340786560185e-02, 5.722617913774803444e-01, 4.095867269321936538e-02
1.328000000008614734e+00, 2.973158278566880308e-01, 2.874529264253964933e-01, -4.998997700974303626e+00, 9.862901431291537513e-03, 5.847687542820845241e-01, 1.686632768777144090e-02
1.437999999994644895e+00, 2.956330960233748417e-01, 2.709396131150871301e-01, -3.741148902493455441e+00, 2.469348290828771164e-02, 5.665727091384620273e-01, 4.358396108742503688e-02
1.532000000006519258e+00, 2.966846021336525530e-01, 2.771198273432216030e-01, -1.049463749597902673e+00, 1.956477479043094991e-02, 5.738044294768741560e-01, 3.409659072912308436e-02
1.625000000000000000e+00, 2.958987905337886470e-01, 2.741891368461573664e-01, 2.032387465098984602e+00, 2.170965368763128067e-02, 5.700879273799459579e-01, 3.808123737579600931e-02
1.735000000015133992e+00, 2.941983457467072238e-01, 2.767478547730833349e-01, 4.348313383211877436e+00, 1.745049097362388890e-02, 5.709462005197905032e-01, 3.056415991162902621e-02
1.828000000008614734e+00, 2.957361532919667302e-01, 2.732938269589861302e-01, 5.004404729874314839e+00, 2.244232633298059998e-02, 5.690299802509528604e-01, 3.943962025178904263e-02
1.937999999994644895e+00, 2.959326062164090998e-01, 2.726851451353446976e-01, 3.761090004143225141e+00, 2.324746108106440223e-02, 5.686177513517538529e-01, 4.088416343984878354e-02
2.032000000006519258e+00, 2.962127931229033839e-01, 2.855801830626769622e-01, 1.082548201272766519e+00, 1.063261006022642174e-02, 5.817929761855803461e-01, 1.827559027944474640e-02
2.125000000000000000e+00, 2.967264691417618172e-01, 2.765208068012643405e-01, -2.014311012203485074e+00, 2.020566234049747667e-02, 5.732472759430261577e-01, 3.524772500184662760e-02
2.235000000015133992e+00, 2.991853509749043960e-01, 2.830504495712872770e-01, -4.326599280385510227e+00, 1.613490140361711900e-02, 5.822358005461916175e-01, 2.771197062853412996e-02
2.344000000011874363e+00, 2.963383941413753608e-01, 2.746609456509575553e-01, -4.943450537709116688e+00, 2.167744849041780553e-02, 5.709993397923329717e-01, 3.796405175932723169e-02
2.437999999994644895e+00, 2.998858183100880370e-01, 2.819812305553694443e-01, -3.515979451343623108e+00, 1.790458775471859276e-02, 5.818670488654574813e-01, 3.077092574606091896e-02
2.547000000020489097e+00, 3.002159235974197760e-01, 2.818669014346086299e-01, -7.452064302242669136e-01, 1.834902216281114606e-02, 5.820828250320284614e-01, 3.152304341190879933e-02
2.641000000003259629e+00, 3.005685726829938065e-01, 2.782083691704601014e-01, 2.316619040158380827e+00, 2.236020351253370508e-02, 5.787769418534538524e-01, 3.863354238150576436e-02
2.750000000000000000e+00, 3.047874794631325046e-01, 2.867476283196783715e-01, 4.500597245678820357e+00, 1.803985114345413310e-02, 5.915351077828108206e-01, 3.049667028398537691e-02
2.844000000011874363e+00, 3.007134969694025828e-01, 2.864384566945775701e-01, 4.962814970668627979e+00, 1.427504027482501270e-02, 5.871519536639802084e-01, 2.431234399501707583e-02
2.937999999994644895e+00, 2.987972759742872353e-01, 2.779813211634124537e-01, 3.617315757695418910e+00, 2.081595481087478161e-02, 5.767785971376997445e-01, 3.609002642292081370e-02
3.047000000020489097e+00, 2.949809368230030260e-01, 2.794096303629371447e-01, 5.496764218840133331e-01, 1.557130646006588126e-02, 5.743905671859401707e-01, 2.710926562800809389e-02
3.157000000006519258e+00, 2.934318574068275898e-01, 2.722294389666930492e-01, -2.515637935148252957e+00, 2.120241844013454058e-02, 5.656612963735205835e-01, 3.748253341012400264e-02
3.250000000000000000e+00, 2.951113686498132438e-01, 2.736029986675549974e-01, -4.592014343961761114e+00, 2.150836998225824637e-02, 5.687143673173682412e-01, 3.781928366556564641e-02
3.344000000011874363e+00, 2.962675423177212330e-01, 2.706562058622818401e-01, -4.904266121322612193e+00, 2.561133645543939297e-02, 5.669237481800031286e-01, 4.517598096332978846e-02
3.453000000008614734e+00, 2.972868429890806463e-01, 2.801117076274201034e-01, -3.339195173226406688e+00, 1.717513536166054289e-02, 5.773985506165006942e-01, 2.974571956116323079e-02
