# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 3.114805178273101660e+01, 3.170377849357588929e+01, 1.916720153244677594e+00, 5.557267108448747939e-01, 6.285183027630691299e+01, 8.769827520954225353e-01
1.000000000000000056e-01, 3.085273324858159999e-02, 7.731648832219638334e-02, 3.123052373060651199e+00, 5.508477073847059535e-02, 1.040438804709768600e-01, 8.740212111231489278e-02
2.000000000000000111e-01, 4.418012978717557326e-02, 6.837183683524020172e-02, 1.747537149073204787e+00, 7.385884937693047714e-02, 8.830659233142675035e-02, 1.160137170987957655e-01
3.000000000000000444e-01, 5.569808976266565209e-02, 9.747126448937661058e-02, 2.155214004777201708e+00, 8.756284106864689609e-02, 1.324333722017333459e-01, 1.387002733457216863e-01
4.000000000000000222e-01, 6.387589896283629720e-02, 1.185175771753943647e-01, 2.895339263325910739e+00, 1.302554254448527182e-01, 1.388762660711063690e-01, 2.070297909921531287e-01
5.000000000000000000e-01, 2.399283880051136103e-02, 5.956298907036777085e-02, 2.180366858123168772e+00, 6.949560849029341736e-02, 5.845658527464646370e-02, 1.114444000518549777e-01
6.000000000000000888e-01, 9.151646285231102018e-03, 5.388387541887963705e-02, 5.475259645442687173e+00, 6.136859053340546627e-02, 4.699303582146925617e-02, 9.785969440356791227e-02
7.000000000000000666e-01, 7.076350516573794158e-02, 3.570108733879049506e-02, 3.790546125330080951e+00, 4.282630091059614480e-02, 1.035856676926967535e-01, 7.133492451615207341e-02
8.000000000000000444e-01, 1.407166391726098059e-02, 3.066593874528388691e-02, 1.042786875179860395e+01, 2.025243331369213154e-02, 4.320488391298182157e-02, 3.234964415410260252e-02
9.000000000000000222e-01, 2.092053675246310224e-02, 9.060376231776165468e-02, 9.547717233246897806e+00, 8.084575765768810263e-02, 1.037178127278235856e-01, 1.280730378527775715e-01
1.000000000000000000e+00, 3.436771236163702753e-02, 9.753950299371386135e-02, 2.484928225285322583e+02, 6.317766304678172629e-02, 1.319044028317982453e-01, 9.931924845406928104e-02
1.100000000000000089e+00, 3.869535526135177428e-02, 9.324484934500529287e-02, 1.262625877938734398e+01, 9.673891077975940722e-02, 1.050021334902088016e-01, 1.518607386690684624e-01
