# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 4.710621669814061363e+01, 3.900400353041278123e+01, 7.221244244468394413e-01, 8.102213167727832399e+00, 8.611022022855340197e+01, 1.880811701731646934e+01
5.000000000000000278e-02, 2.951503944984024130e-01, 1.014015855552907186e-01, 3.542838801920051850e+00, 2.128766549156847210e-01, 3.866207491111763872e-01, 4.149631375785154397e-01
1.000000000000000056e-01, 9.065884356807876743e-02, 2.451134024810685402e-02, 3.529777876478241261e+00, 1.090523443646111562e-01, 7.581061683103476612e-02, 2.380697264740062602e-01
1.500000000000000222e-01, 1.615402935835781317e-01, 2.968526843004661280e-03, 3.121608027138599972e+00, 1.620067451730434482e-01, 1.611271911373403642e-01, 3.405366450930467637e-01
2.000000000000000111e-01, 7.923470696627162024e-02, 1.740256511825686095e-02, 2.858197113967487990e+00, 6.574868338307841842e-02, 9.401641747505559699e-02, 1.329782613357951560e-01
2.500000000000000000e-01, 7.408763231347929856e-02, 3.657602767643521741e-02, 2.775343697898146278e+00, 8.427584021012227145e-02, 8.093916778474632978e-02, 1.837192401820119669e-01
3.000000000000000444e-01, 1.044099815673059234e-01, 1.927998488563145013e-02, 4.651804196126680502e+00, 1.228302472197992101e-01, 8.636581791469150060e-02, 2.656334360122348803e-01
3.500000000000000333e-01, 4.986884224554952172e-02, 3.021605423903576254e-02, 3.357622561575529296e+00, 7.967180661884330772e-02, 2.126560489300339044e-02, 1.823146228890495102e-01
4.000000000000000222e-01, 8.744688810925627109e-02, 7.192820633062248399e-03, 5.254413765371602096e+00, 8.994627641805395812e-02, 8.548132647444921239e-02, 1.893988677031795964e-01
4.500000000000000111e-01, 1.795454969227571612e-02, 1.679850710138766634e-02, 4.604349189105803042e+00, 1.368601005086610058e-03, 3.474533525905931786e-02, 6.196221876471884674e-03
5.000000000000000000e-01, 4.345019356881715811e-02, 4.431679995366721858e-02, 4.149531550917950895e+00, 2.217902126641537863e-03, 8.774324514604257830e-02, 2.276988371045603546e-02
5.500000000000000444e-01, 9.092059085738513069e-02, 2.472641881713813841e-02, 3.874922610281077429e+00, 7.003332517887514430e-02, 1.133632772247835374e-01, 1.395472552334411365e-01
6.000000000000000888e-01, 1.552621247922883127e-02, 1.616212252592391999e-02, 5.097912263780608022e+00, 6.603742432594595681e-03, 3.099912164675355797e-02, 1.731669346822098735e-02
6.500000000000000222e-01, 7.071070916003720230e-02, 2.044838505718634888e-02, 6.374510154358043579e+00, 5.626012423889664715e-02, 8.758470245053427694e-02, 1.143139256414094640e-01
7.000000000000000666e-01, 2.624437846540575089e-02, 2.578445386573364334e-02, 2.309000794636546061e+00, 2.898325451317410734e-02, 4.321090003926970208e-02, 6.858135022105624201e-02
