# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.599999982863664627e-02, 2.367922460349887459e-01, 2.184979823250506881e-01, 5.044635344517870656e+00, 1.829426370993805784e-02, 4.552902283600394062e-01, 4.018154260818248419e-02
1.250000000000000000e-01, 2.308584052393080899e-01, 2.210212733690719578e-01, 5.043087701768699027e+00, 9.837131870236132114e-03, 4.518796786083800754e-01, 2.176936103993613522e-02
2.189999998081475496e-01, 2.318229562723028991e-01, 2.214850307658479123e-01, 5.042034467257836106e+00, 1.033792550645498687e-02, 4.533079870381507837e-01, 2.280552251903061878e-02
3.289999999105930328e-01, 2.306587319027158800e-01, 2.208216000598917650e-01, 5.042470899263305384e+00, 9.837131842824115013e-03, 4.514803319626076172e-01, 2.178861657175985844e-02
4.220000000204890966e-01, 2.318406692325830909e-01, 2.219391265508587896e-01, 5.042651269788601454e+00, 9.901542681724301298e-03, 4.537797957834418527e-01, 2.182014883370795091e-02
5.319999998901039362e-01, 2.317295606761885784e-01, 2.203127551623030311e-01, 5.043382414317620466e+00, 1.141680551388554732e-02, 4.520423158384916373e-01, 2.525605482908952273e-02
6.250000000000000000e-01, 2.314155582560735447e-01, 2.217668278020326067e-01, 5.042585241438036547e+00, 9.648730454040937987e-03, 4.531823860581061236e-01, 2.129105356006444003e-02
7.189999998081475496e-01, 2.310999455741838682e-01, 2.213481579382756415e-01, 5.043424286166331427e+00, 9.751787635908226726e-03, 4.524481035124595096e-01, 2.155338382502399591e-02
8.289999999105930328e-01, 2.304397353407720006e-01, 2.208795697346321862e-01, 5.042396818675115355e+00, 9.560165606139814365e-03, 4.513193050754041868e-01, 2.118270922300243692e-02
9.220000000204890966e-01, 2.327327581679358159e-01, 2.217700483415693258e-01, 5.042796210343393426e+00, 1.096270982636649016e-02, 4.545028065095051417e-01, 2.412022471446988517e-02
1.031999999890103936e+00, 2.343623502539360637e-01, 2.236862680945557735e-01, 5.042752728199286771e+00, 1.067608215938029015e-02, 4.580486183484918650e-01, 2.330774885398241569e-02
1.140999999828636646e+00, 2.347810201661414131e-01, 2.231854745277798702e-01, 5.042883174900145704e+00, 1.159554563836154295e-02, 4.579664946939212555e-01, 2.531963751215325284e-02
1.234999999869614840e+00, 2.325588491366576971e-01, 2.219342957348798551e-01, 5.043718998421634403e+00, 1.062455340177784202e-02, 4.544931448715375799e-01, 2.337670770541736345e-02
1.343999999808147550e+00, 2.299357211991335248e-01, 2.200873175375136215e-01, 5.042699583302207245e+00, 9.848403661619903326e-03, 4.500230387366471740e-01, 2.188422105958707370e-02
1.437999999849125743e+00, 2.299002952906522290e-01, 2.204061507332321090e-01, 5.041673726621838547e+00, 9.494144557420119979e-03, 4.503064460238843658e-01, 2.108374117504093620e-02
1.531999999890103936e+00, 2.313447064249981588e-01, 2.214077378902214455e-01, 5.043076428756846141e+00, 9.936968534776713380e-03, 4.527524443152196043e-01, 2.194790698437025511e-02
1.640999999828636646e+00, 2.306506805624370937e-01, 2.195398261973654230e-01, 5.042544980164201718e+00, 1.111085436507167068e-02, 4.501905067598025445e-01, 2.468033909697661676e-02
1.734999999869614840e+00, 2.299099569110175934e-01, 2.186863837678967859e-01, 5.043366309792522983e+00, 1.122357314312080745e-02, 4.485963406789144070e-01, 2.501931497286588243e-02
